NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
http://www.sports-reference.com/cfb/players/paul-smith-6.html,1999,UTEP,WAC,,RB,12.0,7.0,84.0,12.0,1.0,272.0,1258.0,4.6,12.0,279.0,1342.0,4.8,13.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,23.0,23.0,23.0,0.0,0.0,293.2,,,,,,,,,,
http://www.sports-reference.com/cfb/players/paul-smith-6.html,Career,UTEP,,,,,30.0,346.0,11.5,1.0,603.0,2539.0,4.2,16.0,633.0,2885.0,4.6,17.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,23.0,23.0,23.0,0.0,0.0,293.2,,,,,,,,,,
http://www.sports-reference.com/cfb/players/robert-bean-1.html,1998,Mississippi State,SEC,,DB,12.0,,,,,,,,,,,,,,,,,,5.0,136.0,27.2,1.0,,,,,,1.0,33.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/robert-bean-1.html,1999,Mississippi State,SEC,,DB,11.0,,,,,,,,,,,,,,,,,,1.0,33.0,33.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/robert-bean-1.html,Career,Mississippi State,,,,,,,,,,,,,,,,,,,,,,6.0,169.0,28.2,1.0,,,,,,1.0,33.0,33.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/mao-tosi-1.html,1999,Idaho,Big West,,DL,9.0,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/mao-tosi-1.html,Career,Idaho,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/todd-franz-1.html,1998,Tulsa,WAC,,DB,11.0,,,,,,,,,,,,,,,,,,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/todd-franz-1.html,1999,Tulsa,WAC,,DB,11.0,,,,,,,,,,,,,,,,,,3.0,8.0,2.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/todd-franz-1.html,Career,Tulsa,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,2.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tony-scott-4.html,1996,North Carolina State,ACC,,DB,11.0,,,,,,,,,,,,,,,,,,1.0,30.0,30.0,0.0,,,,,,17.0,165.0,9.7,0.0,3.0,57.0,19.0,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tony-scott-4.html,1997,North Carolina State,ACC,,DB,11.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,6.0,26.0,4.3,0.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tony-scott-4.html,1998,North Carolina State,ACC,,DB,11.0,,,,,,,,,,,,,,,,,,2.0,36.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tony-scott-4.html,1999,North Carolina State,ACC,,DB,11.0,,,,,,,,,,,,,,,,,,4.0,38.0,9.5,0.0,,,,,,0.0,25.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/tony-scott-4.html,Career,North Carolina State,,,,,,,,,,,,,,,,,,,,,,8.0,104.0,13.0,0.0,,,,,,23.0,216.0,9.4,1.0,3.0,57.0,19.0,0.0,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/robaire-smith-1.html,*1997,Michigan State,Big Ten,,DL,12.0,,,,,,,,,,,,,,,,,,1.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/robaire-smith-1.html,*1999,Michigan State,Big Ten,,DL,12.0,,,,,,,,,,,,,,,,,,2.0,12.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/robaire-smith-1.html,Career,Michigan State,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/matt-bowen-1.html,1997,Iowa,Big Ten,,DB,11.0,,,,,,,,,,,,,,,,,,2.0,126.0,63.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/matt-bowen-1.html,1998,Iowa,Big Ten,,DB,11.0,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/matt-bowen-1.html,1999,Iowa,Big Ten,,DB,11.0,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.sports-reference.com/cfb/players/matt-bowen-1.html,Career,Iowa,,,,,,,,,,,,,,,,,,,,,,5.0,126.0,25.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
