NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/lance-moore-1.html,2001,Toledo,MAC,,WR,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,0.0,6.0,84.0,14.0,0.0,7.0,87.0,12.4,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lance-moore-1.html,*2002,Toledo,MAC,SO,WR,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,10.5,0.0,23.0,309.0,13.4,2.0,25.0,330.0,13.2,2.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lance-moore-1.html,2003,Toledo,MAC,JR,WR,12.0,,,,,,,,,,,,,,,17.0,219.0,12.9,1.0,21.0,456.0,21.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,5.2,1.0,103.0,1194.0,11.6,9.0,108.0,1220.0,11.3,10.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lance-moore-1.html,*2004,Toledo,MAC,SR,WR,13.0,,,,,,,,,,,,,,,13.0,180.0,13.8,1.0,21.0,446.0,21.2,0.0,,,,,,,,,,3.0,19.0,6.3,0.0,90.0,1189.0,13.2,14.0,93.0,1208.0,13.0,14.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lance-moore-1.html,Career,Toledo,,,,,,,,,,,,,,,,,,,30.0,399.0,13.3,2.0,42.0,902.0,21.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,69.0,6.3,1.0,222.0,2776.0,12.5,25.0,233.0,2845.0,12.2,26.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eric-moore-1.html,*2003,Florida State,ACC,JR,DL,12.0,,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eric-moore-1.html,*2004,Florida State,ACC,SR,DL,10.0,,,,,,0.0,0.0,,0.0,,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/eric-moore-1.html,Career,Florida State,,,,,,,,,,1.0,1.0,1.0,0.0,,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vernand-morency-1.html,*2002,Oklahoma State,Big 12,,RB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,269.0,4.6,3.0,2.0,-2.0,-1.0,0.0,60.0,267.0,4.5,3.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vernand-morency-1.html,*2003,Oklahoma State,Big 12,FR,RB,13.0,,,,,,,,,,,,,,,,,,,10.0,224.0,22.4,0.0,,,,,,,,,,135.0,918.0,6.8,8.0,4.0,20.0,5.0,0.0,139.0,938.0,6.7,8.0,,,,,,,,,,
