NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/brian-cole-1.html,*2019,Mississippi State,SEC,SR,S,12.0,38.0,29.0,67.0,7.5,2.0,1.0,0.0,0.0,0.0,2.0,2.0,,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,6.0,104.0,17.3,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-cole-1.html,Career,Overall,,,,,43.0,35.0,78.0,10.5,3.0,2.0,0.0,0.0,0.0,2.0,2.0,,,1.0,0.0,0.0,,0.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,16.0,329.0,20.6,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-cole-1.html,,Michigan,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/brian-cole-1.html,,Mississippi State,,,,,43.0,35.0,78.0,10.5,3.0,2.0,0.0,0.0,0.0,2.0,2.0,,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,16.0,329.0,20.6,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rashard-lawrence-1.html,*2016,LSU,SEC,FR,DT,4.0,2.0,4.0,6.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rashard-lawrence-1.html,*2017,LSU,SEC,SO,DE,10.0,11.0,21.0,32.0,3.5,1.5,0.0,0.0,,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rashard-lawrence-1.html,*2018,LSU,SEC,JR,DE,13.0,23.0,31.0,54.0,10.0,4.0,0.0,0.0,,0.0,3.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rashard-lawrence-1.html,*2019,LSU,SEC,SR,DL,12.0,11.0,17.0,28.0,6.0,2.5,0.0,0.0,,0.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rashard-lawrence-1.html,Career,LSU,,,,,47.0,73.0,120.0,20.5,9.0,0.0,0.0,,0.0,7.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/reginald-robinson-ii-1.html,*2015,Tulsa,American,FR,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
