NCAA_Link,Year,School,Conf,Class,Pos,G,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF
https://www.sports-reference.com/cfb/players/tellis-redmon-1.html,2001,Minnesota,Big Ten,JR,RB,11.0,,,,,,,,,,,185.0,1091.0,5.9,6.0,15.0,83.0,5.5,0.0,200.0,1174.0,5.9,6.0,16.0,308.0,19.3,0.0,19.0,202.0,10.6,0.0,2.0,4.0,50.0,37.0,9.3,14.3,1.0,0.0,210.2,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/tellis-redmon-1.html,Career,Minnesota,,,,,,,,,,,,,,,444.0,2235.0,5.0,13.0,44.0,401.0,9.1,2.0,488.0,2636.0,5.4,15.0,21.0,353.0,16.8,0.0,43.0,553.0,12.9,2.0,2.0,4.0,50.0,37.0,9.3,14.3,1.0,0.0,210.2,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ed-reed-1.html,1998,Miami (FL),Big East,,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,10.0,0.0,6.0,40.0,6.7,0.0,,,,,,,,,,,,,,,2.0,53.0,26.5,0.0,,,,,
https://www.sports-reference.com/cfb/players/ed-reed-1.html,1999,Miami (FL),Big East,,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,2.0,43.0,21.5,0.0,2.0,29.0,14.5,0.0,,,,,,,,,,,,,,,2.0,38.0,19.0,0.0,,,,,
https://www.sports-reference.com/cfb/players/ed-reed-1.html,2000,Miami (FL),Big East,JR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,8.0,92.0,11.5,2.0,,,,,
https://www.sports-reference.com/cfb/players/ed-reed-1.html,2001,Miami (FL),Big East,SR,DB,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,54.0,13.5,0.0,,,,,,,,,,,,,,,9.0,206.0,22.9,2.0,,,,,
https://www.sports-reference.com/cfb/players/ed-reed-1.html,Career,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,53.0,17.7,0.0,12.0,123.0,10.3,0.0,,,,,,,,,,,,,,,21.0,389.0,18.5,4.0,,,,,
https://www.sports-reference.com/cfb/players/josh-reed-1.html,1999,LSU,SEC,,WR,8.0,,,,,,,,,,,6.0,58.0,9.7,1.0,8.0,134.0,16.8,0.0,14.0,192.0,13.7,1.0,1.0,21.0,21.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-reed-1.html,2000,LSU,SEC,SO,WR,11.0,,,,,,,,,,,1.0,-2.0,-2.0,0.0,65.0,1127.0,17.3,10.0,66.0,1125.0,17.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/josh-reed-1.html,2001,LSU,SEC,JR,WR,12.0,,,,,,,,,,,2.0,7.0,3.5,0.0,94.0,1740.0,18.5,7.0,96.0,1747.0,18.2,7.0,5.0,108.0,21.6,0.0,2.0,5.0,2.5,0.0,,,,,,,,,,,,,,,,,,,,,,,
