NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD
https://www.sports-reference.com/cfb/players/montel-harris-1.html,Career,Overall,,,,,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,467.0,7.9,3.0,973.0,4789.0,4.9,39.0,1032.0,5256.0,5.1,42.0,15.0,77.0,5.1,0.0,20.0,413.0,20.7,0.0
https://www.sports-reference.com/cfb/players/montel-harris-1.html,,Boston College,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,377.0,7.7,3.0,787.0,3735.0,4.7,27.0,836.0,4112.0,4.9,30.0,10.0,55.0,5.5,0.0,20.0,413.0,20.7,0.0
https://www.sports-reference.com/cfb/players/montel-harris-1.html,,Temple,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,90.0,9.0,0.0,186.0,1054.0,5.7,12.0,196.0,1144.0,5.8,12.0,5.0,22.0,4.4,0.0,,,,
https://www.sports-reference.com/cfb/players/mark-harrison-1.html,*2009,Rutgers,Big East,FR,WR,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,83.0,16.6,1.0,,,,,5.0,83.0,16.6,1.0,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-harrison-1.html,2010,Rutgers,Big East,SO,WR,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,829.0,18.8,9.0,,,,,44.0,829.0,18.8,9.0,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-harrison-1.html,*2011,Rutgers,Big East,JR,WR,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,274.0,19.6,2.0,,,,,14.0,274.0,19.6,2.0,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-harrison-1.html,*2012,Rutgers,Big East,SR,WR,13.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,583.0,13.3,6.0,,,,,44.0,583.0,13.3,6.0,,,,,,,,
https://www.sports-reference.com/cfb/players/mark-harrison-1.html,Career,Rutgers,,,,,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,1769.0,16.5,18.0,,,,,107.0,1769.0,16.5,18.0,,,,,,,,
https://www.sports-reference.com/cfb/players/terry-hawthorne-1.html,2009,Illinois,Big Ten,FR,DB,12.0,23.0,7.0,30.0,0.0,0.0,1.0,44.0,44.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,92.0,18.4,0.0
https://www.sports-reference.com/cfb/players/terry-hawthorne-1.html,*2010,Illinois,Big Ten,SO,DB,8.0,19.0,9.0,28.0,3.5,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
