NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/trent-smith-1.html,1999,Oklahoma,Big 12,,TE,11.0,18.0,175.0,9.7,2.0,,,,,18.0,175.0,9.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trent-smith-1.html,*2000,Oklahoma,Big 12,SO,TE,13.0,31.0,323.0,10.4,3.0,,,,,31.0,323.0,10.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trent-smith-1.html,2001,Oklahoma,Big 12,JR,TE,12.0,61.0,564.0,9.2,6.0,,,,,61.0,564.0,9.2,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trent-smith-1.html,*2002,Oklahoma,Big 12,SR,TE,14.0,46.0,396.0,8.6,5.0,,,,,46.0,396.0,8.6,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/trent-smith-1.html,Career,Oklahoma,,,,,156.0,1458.0,9.3,16.0,,,,,156.0,1458.0,9.3,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/wade-smith-1.html,1999,Memphis,CUSA,,TE,3.0,1.0,6.0,6.0,0.0,,,,,1.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/wade-smith-1.html,2000,Memphis,CUSA,SO,TE,11.0,5.0,25.0,5.0,0.0,,,,,5.0,25.0,5.0,0.0,1.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/wade-smith-1.html,Career,Memphis,,,,,6.0,31.0,5.2,0.0,,,,,6.0,31.0,5.2,0.0,1.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/erick-streelman-1.html,2000,Nevada,WAC,FR,TE,3.0,7.0,101.0,14.4,0.0,,,,,7.0,101.0,14.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/erick-streelman-1.html,2001,Nevada,WAC,SO,TE,11.0,9.0,82.0,9.1,2.0,,,,,9.0,82.0,9.1,2.0,1.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/erick-streelman-1.html,2002,Nevada,WAC,JR,TE,11.0,30.0,345.0,11.5,3.0,,,,,30.0,345.0,11.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/erick-streelman-1.html,Career,Nevada,,,,,46.0,528.0,11.5,5.0,,,,,46.0,528.0,11.5,5.0,1.0,6.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-stricker-1.html,1999,Vanderbilt,SEC,,WR,11.0,12.0,187.0,15.6,2.0,2.0,15.0,7.5,0.0,14.0,202.0,14.4,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-stricker-1.html,2000,Vanderbilt,SEC,SO,WR,11.0,61.0,994.0,16.3,5.0,1.0,19.0,19.0,0.0,62.0,1013.0,16.3,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,66.7,1.0,0.3,0.3,0.0,0.0,69.5,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-stricker-1.html,2001,Vanderbilt,SEC,JR,WR,11.0,65.0,1079.0,16.6,8.0,15.0,80.0,5.3,0.0,80.0,1159.0,14.5,8.0,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-stricker-1.html,2002,Vanderbilt,SEC,SR,WR,12.0,44.0,620.0,14.1,6.0,4.0,3.0,0.8,0.0,48.0,623.0,13.0,6.0,5.0,77.0,15.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dan-stricker-1.html,Career,Vanderbilt,,,,,182.0,2880.0,15.8,21.0,22.0,117.0,5.3,0.0,204.0,2997.0,14.7,21.0,5.0,77.0,15.4,0.0,,,,,,,,,,,,,,,,,,,2.0,6.0,33.3,1.0,0.2,0.2,0.0,0.0,34.7,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donald-strickland-1.html,2001,Colorado,Big 12,JR,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,34.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donald-strickland-1.html,*2002,Colorado,Big 12,SR,DB,14.0,,,,,,,,,,,,,,,,,1.0,15.0,15.0,0.0,,,,,,2.0,186.0,93.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/donald-strickland-1.html,Career,Colorado,,,,,,,,,,,,,,,,,,,,,1.0,15.0,15.0,0.0,,,,,,4.0,220.0,55.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lee-suggs-1.html,*1999,Virginia Tech,Big East,,RB,12.0,1.0,1.0,1.0,0.0,44.0,136.0,3.1,2.0,45.0,137.0,3.0,2.0,1.0,20.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lee-suggs-1.html,2000,Virginia Tech,Big East,SO,RB,11.0,3.0,44.0,14.7,1.0,222.0,1207.0,5.4,27.0,225.0,1251.0,5.6,28.0,3.0,45.0,15.0,0.0,1.0,18.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lee-suggs-1.html,2001,Virginia Tech,Big East,JR,RB,1.0,,,,,12.0,99.0,8.3,2.0,12.0,99.0,8.3,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lee-suggs-1.html,*2002,Virginia Tech,Big East,SR,RB,14.0,11.0,126.0,11.5,2.0,257.0,1325.0,5.2,22.0,268.0,1451.0,5.4,24.0,5.0,132.0,26.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/lee-suggs-1.html,Career,Virginia Tech,,,,,15.0,171.0,11.4,3.0,535.0,2767.0,5.2,53.0,550.0,2938.0,5.3,56.0,9.0,197.0,21.9,0.0,1.0,18.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrell-suggs-1.html,*2000,Arizona State,Pac-10,FR,DL,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,48.0,48.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrell-suggs-1.html,*2002,Arizona State,Pac-10,JR,DL,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/terrell-suggs-1.html,Career,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,70.0,35.0,1.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ray-thomas-1.html,1999,Wake Forest,ACC,,TE,12.0,1.0,14.0,14.0,0.0,,,,,1.0,14.0,14.0,0.0,1.0,24.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ray-thomas-1.html,2000,Wake Forest,ACC,SO,TE,11.0,18.0,184.0,10.2,1.0,,,,,18.0,184.0,10.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,
https://www.sports-reference.com/cfb/players/ray-thomas-1.html,2001,Wake Forest,ACC,JR,TE,11.0,20.0,241.0,12.1,0.0,,,,,20.0,241.0,12.1,0.0,3.0,26.0,8.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ray-thomas-1.html,*2002,Wake Forest,ACC,SR,TE,13.0,16.0,183.0,11.4,1.0,,,,,16.0,183.0,11.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ray-thomas-1.html,Career,Wake Forest,,,,,55.0,622.0,11.3,2.0,,,,,55.0,622.0,11.3,2.0,4.0,50.0,12.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,
