NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,2013,Toledo,MAC,FR,WR,3.0,2.0,15.0,7.5,0.0,1.0,5.0,5.0,0.0,3.0,20.0,6.7,0.0,2.0,17.0,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,2014,South Florida,American,SO,WR,9.0,23.0,323.0,14.0,2.0,5.0,52.0,10.4,1.0,28.0,375.0,13.4,3.0,6.0,123.0,20.5,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,*2015,South Florida,American,JR,WR,13.0,44.0,816.0,18.5,9.0,11.0,87.0,7.9,1.0,55.0,903.0,16.4,10.0,16.0,466.0,29.1,1.0,0.0,0.0,,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,*2016,South Florida,American,SR,WR,13.0,67.0,822.0,12.3,5.0,23.0,231.0,10.0,5.0,90.0,1053.0,11.7,10.0,22.0,534.0,24.3,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,Career,Overall,,,,,136.0,1976.0,14.5,16.0,40.0,375.0,9.4,7.0,176.0,2351.0,13.4,23.0,46.0,1140.0,24.8,1.0,0.0,0.0,,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,,Toledo,,,,,2.0,15.0,7.5,0.0,1.0,5.0,5.0,0.0,3.0,20.0,6.7,0.0,2.0,17.0,8.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/rodney-adams-1.html,,South Florida,,,,,134.0,1961.0,14.6,16.0,39.0,370.0,9.5,7.0,173.0,2331.0,13.5,23.0,44.0,1123.0,25.5,1.0,0.0,0.0,,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/montravius-adams-1.html,*2013,Auburn,SEC,FR,DT,11.0,,,,,,,,,,,,,,,,,,,,,10.0,10.0,20.0,1.5,1.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/montravius-adams-1.html,*2014,Auburn,SEC,SO,DT,13.0,,,,,,,,,,,,,,,,,,,,,26.0,16.0,42.0,7.0,3.0,1.0,36.0,36.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/montravius-adams-1.html,*2015,Auburn,SEC,JR,DT,12.0,,,,,,,,,,,,,,,,,,,,,15.0,27.0,42.0,3.0,2.5,0.0,0.0,,0.0,1.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/montravius-adams-1.html,*2016,Auburn,SEC,SR,DT,13.0,,,,,,,,,,,,,,,,,,,,,26.0,17.0,43.0,8.0,4.0,1.0,7.0,7.0,0.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/montravius-adams-1.html,Career,Auburn,,,,,,,,,,,,,,,,,,,,,,,,,77.0,70.0,147.0,19.5,10.5,2.0,43.0,21.5,0.0,3.0,3.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jamal-adams-1.html,*2014,LSU,SEC,FR,S,12.0,,,,,,,,,,,,,,,,,,,,,38.0,28.0,66.0,5.0,1.0,0.0,0.0,,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jamal-adams-1.html,*2015,LSU,SEC,SO,S,12.0,,,,,,,,,,,,,,,,,,,,,48.0,19.0,67.0,5.5,0.0,4.0,30.0,7.5,0.0,6.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
