NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate
https://www.sports-reference.com/cfb/players/jesse-palmer-1.html,Career,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,-124.0,-1.9,6.0,,,,,67.0,-124.0,-1.9,6.0,,,,,,,,,,,254.0,479.0,53.0,3755.0,7.8,7.5,31.0,17.0,133.1
https://www.sports-reference.com/cfb/players/jeremiah-pharms-1.html,2000,Washington,Pac-10,SR,LB,11.0,,,,,,,,,,,1.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jeremiah-pharms-1.html,Career,Washington,,,,,,,,,,,,,,,1.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vitaly-pisetsky-1.html,*1998,Wisconsin,Big Ten,,K,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,100.0,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/vitaly-pisetsky-1.html,1999,Wisconsin,Big Ten,,K,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,48.0,95.8,16.0,20.0,80.0,94.0,,,,,,,,,
https://www.sports-reference.com/cfb/players/vitaly-pisetsky-1.html,2000,Wisconsin,Big Ten,SR,K,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,31.0,31.0,32.0,96.9,13.0,22.0,59.1,70.0,,,,,,,,,
https://www.sports-reference.com/cfb/players/vitaly-pisetsky-1.html,Career,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,31.0,31.0,78.0,81.0,96.3,29.0,42.0,69.0,164.0,,,,,,,,,
https://www.sports-reference.com/cfb/players/owen-pochman-1.html,1997,Brigham Young,WAC,,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,30.0,96.7,9.0,15.0,60.0,56.0,,,,,,,,,
https://www.sports-reference.com/cfb/players/owen-pochman-1.html,1998,Brigham Young,WAC,,K,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,42.0,97.6,20.0,27.0,74.1,101.0,,,,,,,,,
https://www.sports-reference.com/cfb/players/owen-pochman-1.html,1999,Brigham Young,MWC,,K,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,38.0,94.7,18.0,25.0,72.0,90.0,,,,,,,,,
