NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Punts,Punt_Yds,Punt_Avg
https://www.sports-reference.com/cfb/players/jace-amaro-1.html,2011,Texas Tech,Big 12,FR,TE,12.0,7.0,57.0,8.1,2.0,,,,,7.0,57.0,8.1,2.0,,,,,,,,,2.0,0.0,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jace-amaro-1.html,*2012,Texas Tech,Big 12,SO,TE,7.0,25.0,409.0,16.4,4.0,,,,,25.0,409.0,16.4,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jace-amaro-1.html,*2013,Texas Tech,Big 12,JR,TE,13.0,106.0,1352.0,12.8,7.0,0.0,0.0,,0.0,106.0,1352.0,12.8,7.0,,,,,,,,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/jace-amaro-1.html,Career,Texas Tech,,,,,138.0,1818.0,13.2,13.0,0.0,0.0,,0.0,138.0,1818.0,13.2,13.0,,,,,,,,,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,2010,Western Kentucky,Sun Belt,FR,RB,9.0,5.0,37.0,7.4,0.0,32.0,174.0,5.4,2.0,37.0,211.0,5.7,2.0,5.0,24.0,4.8,0.0,9.0,194.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,1.0,1.0,100.0,37.0,37.0,37.0,0.0,0.0,410.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,2011,Western Kentucky,Sun Belt,SO,RB,8.0,2.0,16.0,8.0,0.0,15.0,42.0,2.8,0.0,17.0,58.0,3.4,0.0,4.0,27.0,6.8,0.0,18.0,505.0,28.1,0.0,1.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,*2012,Western Kentucky,Sun Belt,JR,RB,13.0,37.0,432.0,11.7,3.0,304.0,1728.0,5.7,11.0,341.0,2160.0,6.3,14.0,19.0,234.0,12.3,1.0,28.0,767.0,27.4,0.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,2013,Western Kentucky,Sun Belt,SR,RB,12.0,41.0,478.0,11.7,0.0,267.0,1730.0,6.5,16.0,308.0,2208.0,7.2,16.0,14.0,97.0,6.9,0.0,15.0,314.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/antonio-andrews-1.html,Career,Western Kentucky,,,,,85.0,963.0,11.3,3.0,618.0,3674.0,5.9,29.0,703.0,4637.0,6.6,32.0,42.0,382.0,9.1,1.0,70.0,1780.0,25.4,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,1.0,100.0,37.0,37.0,37.0,0.0,0.0,410.8,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dri-archer-1.html,2009,Kent State,MAC,FR,RB,11.0,19.0,231.0,12.2,3.0,58.0,246.0,4.2,1.0,77.0,477.0,6.2,4.0,,,,,11.0,266.0,24.2,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dri-archer-1.html,2010,Kent State,MAC,SO,RB,12.0,16.0,75.0,4.7,1.0,40.0,140.0,3.5,1.0,56.0,215.0,3.8,2.0,5.0,12.0,2.4,0.0,22.0,451.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dri-archer-1.html,*2012,Kent State,MAC,JR,RB,14.0,39.0,561.0,14.4,4.0,159.0,1429.0,9.0,16.0,198.0,1990.0,10.1,20.0,1.0,-4.0,-4.0,0.0,16.0,591.0,36.9,3.0,,,,,,,,,,,,,,,1.0,1.0,100.0,24.0,24.0,44.0,1.0,0.0,631.6,,,,,,,,,,
