NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate
https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,*2015,Georgia,SEC,FR,S,8.0,11.0,14.0,25.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,*2017,Mississippi State,SEC,JR,DB,12.0,43.0,28.0,71.0,5.0,2.0,0.0,0.0,,0.0,5.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,*2018,Mississippi State,SEC,SR,S,13.0,53.0,46.0,99.0,9.0,3.0,2.0,9.0,4.5,0.0,5.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,Career,Overall,,,,,107.0,88.0,195.0,15.5,5.0,2.0,9.0,4.5,0.0,10.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,,Georgia,,,,,11.0,14.0,25.0,1.5,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/johnathan-abram-1.html,,Mississippi State,,,,,96.0,74.0,170.0,14.0,5.0,2.0,9.0,4.5,0.0,10.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/azeez-al-shaair-1.html,2015,Florida Atlantic,CUSA,FR,LB,12.0,50.0,44.0,94.0,7.0,1.5,0.0,0.0,,0.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/azeez-al-shaair-1.html,2016,Florida Atlantic,CUSA,SO,LB,12.0,56.0,56.0,112.0,11.0,2.0,1.0,30.0,30.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/azeez-al-shaair-1.html,*2017,Florida Atlantic,CUSA,JR,LB,13.0,71.0,75.0,146.0,10.0,2.5,0.0,0.0,,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/azeez-al-shaair-1.html,2018,Florida Atlantic,CUSA,SR,LB,6.0,24.0,19.0,43.0,3.0,1.5,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
