NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/jahvid-best-1.html,Career,California,,,,,62.0,533.0,8.6,6.0,364.0,2668.0,7.3,29.0,426.0,3201.0,7.5,35.0,10.0,5.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,32.0,844.0,26.4,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/legarrette-blount-1.html,*2008,Oregon,Pac-10,JR,RB,13.0,2.0,2.0,1.0,0.0,137.0,1002.0,7.3,17.0,139.0,1004.0,7.2,17.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/legarrette-blount-1.html,*2009,Oregon,Pac-10,SR,RB,3.0,2.0,13.0,6.5,0.0,22.0,82.0,3.7,2.0,24.0,95.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/legarrette-blount-1.html,Career,Oregon,,,,,4.0,15.0,3.8,0.0,159.0,1084.0,6.8,19.0,163.0,1099.0,6.7,19.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nyan-boateng-1.html,*2005,Florida,SEC,FR,WR,5.0,4.0,77.0,19.3,0.0,2.0,16.0,8.0,0.0,6.0,93.0,15.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nyan-boateng-1.html,*2008,California,Pac-10,JR,WR,13.0,29.0,439.0,15.1,5.0,1.0,0.0,0.0,0.0,30.0,439.0,14.6,5.0,1.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nyan-boateng-1.html,*2009,California,Pac-10,SR,WR,10.0,13.0,191.0,14.7,2.0,0.0,0.0,,0.0,13.0,191.0,14.7,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nyan-boateng-1.html,Career,Overall,,,,,46.0,707.0,15.4,7.0,3.0,16.0,5.3,0.0,49.0,723.0,14.8,7.0,1.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nyan-boateng-1.html,,Florida,,,,,4.0,77.0,19.3,0.0,2.0,16.0,8.0,0.0,6.0,93.0,15.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nyan-boateng-1.html,,California,,,,,42.0,630.0,15.0,7.0,1.0,0.0,0.0,0.0,43.0,630.0,14.7,7.0,1.0,1.0,2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
