NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/branden-albert-1.html,*2007,Virginia,ACC,JR,OL,12.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,,,,,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/branden-albert-1.html,Career,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,0.0,,,,,1.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-alridge-1.html,*2005,Houston,CUSA,SO,RB,12.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,9.0,39.0,4.3,0.0,13.0,295.0,22.7,3.0,22.0,334.0,15.2,3.0,2.0,10.0,5.0,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-alridge-1.html,*2006,Houston,CUSA,JR,RB,14.0,0.0,1.0,1.0,0.0,0.0,,,,,,,0.0,1.0,,1.0,1.0,100.0,6.0,6.0,6.0,0.0,0.0,150.4,95.0,959.0,10.1,8.0,19.0,274.0,14.4,1.0,114.0,1233.0,10.8,9.0,27.0,603.0,22.3,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-alridge-1.html,2007,Houston,CUSA,SR,RB,13.0,,,,,,,,,,,,,,,2.0,4.0,50.0,28.0,7.0,0.8,1.0,1.0,141.3,259.0,1597.0,6.2,14.0,42.0,428.0,10.2,5.0,301.0,2025.0,6.7,19.0,9.0,233.0,25.9,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/anthony-alridge-1.html,Career,Houston,,,,,0.0,2.0,2.0,0.0,0.0,,,,,,,0.0,1.0,,3.0,5.0,60.0,34.0,6.8,1.8,1.0,1.0,143.1,363.0,2595.0,7.1,22.0,74.0,997.0,13.5,9.0,437.0,3592.0,8.2,31.0,38.0,846.0,22.3,0.0,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-amendola-1.html,*2004,Texas Tech,Big 12,FR,WR,12.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,9.0,4.5,0.0,13.0,119.0,9.2,1.0,15.0,128.0,8.5,1.0,8.0,149.0,18.6,0.0,29.0,371.0,12.8,1.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-amendola-1.html,*2005,Texas Tech,Big 12,SO,WR,12.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,-1.0,-0.5,0.0,34.0,395.0,11.6,3.0,36.0,394.0,10.9,3.0,9.0,141.0,15.7,0.0,32.0,313.0,9.8,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-amendola-1.html,*2006,Texas Tech,Big 12,JR,WR,13.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,12.0,4.0,0.0,48.0,487.0,10.1,5.0,51.0,499.0,9.8,5.0,,,,,41.0,377.0,9.2,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/danny-amendola-1.html,*2007,Texas Tech,Big 12,SR,WR,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,1245.0,11.4,6.0,109.0,1245.0,11.4,6.0,,,,,14.0,222.0,15.9,0.0,,,,,,,,,,
