NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/davin-meggett-1.html,*2008,Maryland,ACC,FR,RB,13.0,,,,,,,,,,,,,,,9.0,79.0,8.8,0.0,89.0,457.0,5.1,4.0,98.0,536.0,5.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davin-meggett-1.html,2009,Maryland,ACC,SO,RB,12.0,,,,,,,,,,,,,,,14.0,175.0,12.5,1.0,99.0,338.0,3.4,6.0,113.0,513.0,4.5,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davin-meggett-1.html,*2010,Maryland,ACC,JR,RB,13.0,,,,,,,,,,,,,,,6.0,59.0,9.8,0.0,126.0,720.0,5.7,4.0,132.0,779.0,5.9,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davin-meggett-1.html,2011,Maryland,ACC,SR,RB,12.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,17.0,141.0,8.3,1.0,171.0,896.0,5.2,4.0,188.0,1037.0,5.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/davin-meggett-1.html,Career,Maryland,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,46.0,454.0,9.9,2.0,485.0,2411.0,5.0,18.0,531.0,2865.0,5.4,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dequan-menzie-1.html,*2010,Alabama,SEC,FR,DB,12.0,26.0,7.0,33.0,5.0,2.0,0.0,0.0,,0.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dequan-menzie-1.html,*2011,Alabama,SEC,SR,DB,13.0,27.0,14.0,41.0,4.0,1.5,1.0,25.0,25.0,1.0,11.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/dequan-menzie-1.html,Career,Alabama,,,,,53.0,21.0,74.0,9.0,3.5,1.0,25.0,25.0,1.0,15.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/whitney-mercilus-1.html,2009,Illinois,Big Ten,FR,DL,11.0,4.0,4.0,8.0,3.5,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/whitney-mercilus-1.html,*2010,Illinois,Big Ten,SO,DL,13.0,8.0,8.0,16.0,3.0,1.0,,,,,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/whitney-mercilus-1.html,*2011,Illinois,Big Ten,JR,DL,13.0,28.0,29.0,57.0,22.5,16.0,,,,,1.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/whitney-mercilus-1.html,Career,Illinois,,,,,40.0,41.0,81.0,29.0,18.0,,,,,2.0,0.0,0.0,0.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ryan-miller-1.html,2010,Colorado,Big 12,JR,OL,12.0,2.0,1.0,3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/ryan-miller-1.html,Career,Colorado,,,,,2.0,1.0,3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
