NCAA_Link,Year,School,Conf,Class,Pos,G,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/kevin-barnes-1.html,2005,Maryland,ACC,FR,DB,11.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-barnes-1.html,*2006,Maryland,ACC,SO,DB,11.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-barnes-1.html,*2007,Maryland,ACC,JR,DB,13.0,46.0,18.0,64.0,5.5,0.0,4.0,55.0,13.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-barnes-1.html,*2008,Maryland,ACC,SR,DB,7.0,15.0,5.0,20.0,0.0,0.0,2.0,27.0,13.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kevin-barnes-1.html,Career,Maryland,,,,,74.0,25.0,99.0,5.5,0.0,6.0,82.0,13.7,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/connor-barwin-1.html,2005,Cincinnati,Big East,FR,TE,11.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,8.0,144.0,18.0,1.0,,,,,8.0,144.0,18.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/connor-barwin-1.html,*2006,Cincinnati,Big East,SO,TE,13.0,8.0,0.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,13.0,148.0,11.4,2.0,,,,,13.0,148.0,11.4,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/connor-barwin-1.html,*2007,Cincinnati,Big East,JR,TE,12.0,3.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,1.0,18.0,18.0,0.0,31.0,399.0,12.9,2.0,,,,,31.0,399.0,12.9,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/connor-barwin-1.html,*2008,Cincinnati,Big East,SR,DL,14.0,27.0,22.0,49.0,14.5,11.0,,,,,,,,,,,,,,2.0,20.0,10.0,0.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/connor-barwin-1.html,Career,Cincinnati,,,,,40.0,22.0,62.0,14.5,11.0,,,,,,,,,,,,,,3.0,38.0,12.7,0.0,53.0,692.0,13.1,6.0,,,,,53.0,692.0,13.1,6.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/william-beatty-1.html,2005,Connecticut,Big East,SO,DL,8.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/william-beatty-1.html,2006,Connecticut,Big East,SO,DL,5.0,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/william-beatty-1.html,*2008,Connecticut,Big East,SR,DL,11.0,2.0,1.0,3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/william-beatty-1.html,Career,Connecticut,,,,,4.0,1.0,5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-beckum-1.html,*2005,Wisconsin,Big Ten,FR,LB,10.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-beckum-1.html,*2006,Wisconsin,Big Ten,SO,TE,13.0,,,,,,,,,,,,,,,,,,,,,,,61.0,903.0,14.8,5.0,4.0,19.0,4.8,0.0,65.0,922.0,14.2,5.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-beckum-1.html,*2007,Wisconsin,Big Ten,JR,TE,13.0,3.0,1.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,75.0,982.0,13.1,6.0,4.0,6.0,1.5,0.0,79.0,988.0,12.5,6.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-beckum-1.html,*2008,Wisconsin,Big Ten,SR,TE,6.0,,,,,,,,,,,,,,,,,,,,,,,23.0,264.0,11.5,0.0,,,,,23.0,264.0,11.5,0.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/travis-beckum-1.html,Career,Wisconsin,,,,,4.0,2.0,6.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,159.0,2149.0,13.5,11.0,8.0,25.0,3.1,0.0,167.0,2174.0,13.0,11.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darry-beckwith-1.html,*2006,LSU,SEC,SO,LB,12.0,29.0,36.0,65.0,4.0,2.5,1.0,-7.0,-7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darry-beckwith-1.html,*2007,LSU,SEC,JR,LB,12.0,30.0,35.0,65.0,6.0,1.5,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darry-beckwith-1.html,*2008,LSU,SEC,SR,LB,11.0,25.0,26.0,51.0,1.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/darry-beckwith-1.html,Career,LSU,,,,,84.0,97.0,181.0,11.0,4.5,2.0,-7.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kahlil-bell-1.html,*2005,UCLA,Pac-10,FR,RB,12.0,,,,,,,,,,,,,,,11.0,175.0,15.9,0.0,,,,,,,,,52.0,310.0,6.0,3.0,52.0,310.0,6.0,3.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kahlil-bell-1.html,*2006,UCLA,Pac-10,SO,RB,7.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,2.0,16.0,8.0,0.0,,,,,6.0,38.0,6.3,0.0,60.0,239.0,4.0,2.0,66.0,277.0,4.2,2.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kahlil-bell-1.html,*2007,UCLA,Pac-10,JR,RB,8.0,2.0,0.0,2.0,0.0,0.0,,,,,,,,,,1.0,21.0,21.0,0.0,,,,,13.0,93.0,7.2,0.0,142.0,795.0,5.6,5.0,155.0,888.0,5.7,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kahlil-bell-1.html,2008,UCLA,Pac-10,SR,RB,10.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,10.0,65.0,6.5,1.0,141.0,397.0,2.8,7.0,151.0,462.0,3.1,8.0,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/kahlil-bell-1.html,Career,UCLA,,,,,5.0,0.0,5.0,0.0,0.0,,,,,,,,,,14.0,212.0,15.1,0.0,,,,,29.0,196.0,6.8,1.0,395.0,1741.0,4.4,17.0,424.0,1937.0,4.6,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-3.html,2005,Texas A&M,Big 12,FR,DL,11.0,7.0,16.0,23.0,4.5,3.5,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-3.html,*2006,Texas A&M,Big 12,SO,DL,13.0,13.0,14.0,27.0,6.0,2.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/michael-bennett-3.html,*2007,Texas A&M,Big 12,JR,DL,12.0,20.0,23.0,43.0,6.0,1.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
