NCAA_Link,Year,School,Conf,Class,Pos,G,Rec,Rec_Yds,Rec_Avg,Rec_TD,Rush_Att,Rush_Yds,Rush_Avg,Rush_TD,Scrim_Plays,Scrim_Yds,Scrim_Avg,Scrim_TD,Kick_Ret,Kick_ret_Yds,Kick_ret_Avg,Kick_ret_TD,Punt_Ret,Punt_ret_Yds,Punt_ret_Avg,Punt_ret_TD,Def_Solo_Tackles,Def_Ast_Tackles,Def_Tot_Tackles,Def_Loss_Tackles,Def_Sk,Def_Int,Def_Int_Yds,Def_Int_Avg,Def_Int_TD,Def_Int_PD,Def_FR,Def_Yds_Fumbles,Def_TD_Fumbles,Def_FF,Pass_Cmp,Pass_Att,Pass_Pct,Pass_Yds,Pass_Y/A,Pass_AY/A,Pass_TD,Pass_Int,Pass_Rate,Punts,Punt_Yds,Punt_Avg,Kick_XPM,Kick_XPA,Kick_XP_pct,Kick_FGM,Kick_FGA,Kick_FG_pct,Kick_Pts
https://www.sports-reference.com/cfb/players/derek-abney-1.html,2000,Kentucky,SEC,FR,WR,11.0,40.0,413.0,10.3,3.0,1.0,7.0,7.0,0.0,41.0,420.0,10.2,3.0,,,,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-abney-1.html,2001,Kentucky,SEC,SO,WR,11.0,66.0,741.0,11.2,6.0,,,,,66.0,741.0,11.2,6.0,33.0,739.0,22.4,0.0,22.0,212.0,9.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-abney-1.html,2002,Kentucky,SEC,JR,WR,12.0,40.0,569.0,14.2,4.0,3.0,5.0,1.7,0.0,43.0,574.0,13.3,4.0,30.0,804.0,26.8,2.0,36.0,544.0,15.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-abney-1.html,2003,Kentucky,SEC,SR,WR,12.0,51.0,616.0,12.1,5.0,11.0,148.0,13.5,0.0,62.0,764.0,12.3,5.0,32.0,772.0,24.1,0.0,29.0,285.0,9.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/derek-abney-1.html,Career,Kentucky,,,,,197.0,2339.0,11.9,18.0,15.0,160.0,10.7,0.0,212.0,2499.0,11.8,18.0,95.0,2315.0,24.4,2.0,88.0,1042.0,11.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nathaniel-adibi-1.html,2000,Virginia Tech,Big East,,DL,11.0,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,,0.0,,1.0,36.0,1.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nathaniel-adibi-1.html,*2002,Virginia Tech,Big East,JR,DL,14.0,,,,,,,,,,,,,,,,,1.0,30.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nathaniel-adibi-1.html,*2003,Virginia Tech,Big East,SR,DL,12.0,,,,,,,,,,,,,,,,,1.0,25.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/nathaniel-adibi-1.html,Career,Virginia Tech,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,2.0,55.0,27.5,0.0,,,,,,0.0,0.0,,0.0,,1.0,36.0,1.0,,,,,,,,,,,,,,,,,,,,
https://www.sports-reference.com/cfb/players/roc-alexander-1.html,2000,Washington,Pac-10,FR,DB,10.0,,,,,1.0,8.0,8.0,0.0,1.0,8.0,8.0,0.0,2.0,45.0,22.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
