Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Exp_Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Pass_Att_PG_Prior,Pass_Att_PG_Draft,Pass_Cmp_PG_Prior,Pass_Cmp_PG_Draft,Pass_Pct_Prior,Pass_Pct_Draft,Pass_Yds_PG_Prior,Pass_Yds_PG_Draft,Pass_TD_PG_Prior,Pass_TD_PG_Draft,Pass_Int_PG_Prior,Pass_Int_PG_Draft,Pass_YA_Prior,Pass_YA_Draft,Pass_AYA_Prior,Pass_AYA_Draft,Pass_Rate_Prior,Pass_Rate_Draft,Rush_Att_PG_Prior,Rush_Att_PG_Draft,Rush_Yds_PG_Prior,Rush_Yds_PG_Draft,Rush_Avg_Prior,Rush_Avg_Draft,Rush_TD_PG_Prior,Rush_TD_PG_Draft,Rec_PG_Prior,Rec_PG_Draft,Rec_Yds_PG_Prior,Rec_Yds_PG_Draft,Rec_TD_PG_Prior,Rec_TD_PG_Draft,Scrim_Yds_PG_Prior,Scrim_Yds_PG_Draft,Scrim_TD_PG_Prior,Scrim_TD_PG_Draft,Kick_FGA_PG_Prior,Kick_FGA_PG_Draft,Kick_FGM_PG_Prior,Kick_FGM_PG_Draft,Kick_FG_pct_Prior,Kick_FG_pct_Draft,Kick_XPA_PG_Prior,Kick_XPA_PG_Draft,Kick_XPM_PG_Prior,Kick_XPM_PG_Draft,Kick_XP_pct_Prior,Kick_XP_pct_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Def_Solo_Tackles_PG_Prior,Def_Solo_Tackles_PG_Draft,Def_Ast_Tackles_PG_Prior,Def_Ast_Tackles_PG_Draft,Def_Tot_Tackles_PG_Prior,Def_Tot_Tackles_PG_Draft,Def_Loss_Tackles_PG_Prior,Def_Loss_Tackles_PG_Draft,Def_Sk_PG_Prior,Def_Sk_PG_Draft,Def_Int_PG_Prior,Def_Int_PG_Draft,Def_PD_PG_Prior,Def_PD_PG_Draft,Def_FF_PG_Prior,Def_FF_PG_Draft,Def_FR_PG_Prior,Def_FR_PG_Draft,Def_Int_TD_PG_Prior,Def_Int_TD_PG_Draft,Def_TD_Fumbles_PG_Prior,Def_TD_Fumbles_PG_Draft
2006,quinton-ganther-1,0,7,Rounds 4-7,246,TEN,Quinton Ganther,3,0.1,Success,SR,0,RB,OB,Offense,22,Utah,MWC,1,69,218,32.19,28.38,8.63,4.5,106.33,96.71,35,7819.87,29,20.2,8.8,119,20770.82,7.19,NULL,NULL,39,50,3.65,-0.81,2.83,0,0.08,0.22,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.08,18.64,54.5,101.82,6,5.5,0.17,0.64,0.58,2.27,4.08,28.55,0.08,0.09,58.58,130.36,0.25,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,quinton-jefferson-1,0,5,Rounds 4-7,147,SEA,Quinton Jefferson,12,3.6,Success,JR,1,DT,DL,Defense,23,Maryland,Big Ten,1,76,291,35.42,33.375,8.875,4.95,96.94,101.93,29,8394.53,24,24,0,NULL,NULL,7.95,4.37,88.42,96,103,1.81,-3.89,-2.08,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,2.09,2.44,1.45,4.25,3.55,0.56,1.14,0.25,0.59,0.06,0.09,0,0.09,0.13,0.09,0.06,0.09,0,0,0,0
2013,quinton-patton-1,0,4,Rounds 4-7,128,SFO,Quinton Patton,7,4.8,Success,SR,0,WR,Receivers,Offense,23,Louisiana Tech,WAC,0,72,204,27.66,32.78,9.38,4.53,96.89,93.94,33,7223.89,8,16.2,-8.2,118,20329.02,6.91,4.01,100.42,1,119,20.9,-14.57,6.33,0,0.45,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.08,3.23,-0.42,4.2,-5,0,0,6.08,8.67,92.46,116,0.85,1.08,95.69,115.58,0.85,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,quinton-porter-1,0,8,Undrafted,999,Undrafted,Quinton Porter,NULL,NULL,Success,SR,0,QB,QB,Offense,NULL,Boston College,ACC,1,77,233,27.63,32.13,9.63,4.67,97.98,105.06,33.5,7896.77,NULL,16.1,NULL,116,20616.45,6.76,4.1,117.26,64,7,1.21,10.8,12.01,0,NULL,NULL,12.86,30.57,7.33,19.43,0.57,63.6,87.9,193.86,0.67,1.29,0.33,1,6.84,6.3,6.71,5.7,126.39,124.2,4,4.43,7.67,1.29,1.92,0.3,0.1,0,0.05,0,-1.14,0,0,0,6.52,1.29,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,raekwon-davis-1,1,2,Rounds 1-3,56,MIA,Raekwon Davis,0,12,Bust,SR,0,DT,DL,Defense,23,Alabama,SEC,1,78,311,35.94,33.875,11,5.12,90.51,98.95,28,8651.24,24,25,-1,111,21448.01,7.95,4.86,80.85,2,13,13.02,8.09,21.11,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,1.5,2.55,2.42,4.13,3.92,0.53,0.25,0.35,0.04,0.03,0,0,0,0.03,0,0.03,0,0,0,0,0
2017,raekwon-mcmillan-1,1,2,Rounds 1-3,54,MIA,Raekwon McMillan,11,12.4,Bust,JR,1,ILB,LB,Defense,21,Ohio State,Big Ten,1,74,240,30.81,33,9.75,4.61,106.28,107.36,33,7963.49,23,19.2,3.8,121,21531.15,7.15,4.39,94.73,13,3,3.69,15.13,18.82,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,3.77,3.31,4.08,6.65,7.85,0.42,0.54,0.15,0.15,0.04,0,0.19,0.38,0,0.15,0.04,0,0.04,0,0,0
2020,raequan-williams-1,0,8,Undrafted,999,Undrafted,Raequan Williams,NULL,NULL,Success,SR,0,DT,DL,Defense,NULL,Michigan State,Big Ten,1,76,308,37.49,33.375,9.375,5.04,95.47,100.38,25.5,8204.16,17,26.1,-9.1,101,19844.6,7.72,4.78,88.31,104,36,-0.23,6.29,6.06,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,1.31,1.94,2.38,3.03,3.69,0.6,0.58,0.18,0.38,0,0,0.17,0.15,0.06,0.08,0,0,0,0,0,0
2008,rafael-little-1,0,8,Undrafted,999,Undrafted,Rafael Little,NULL,NULL,Success,SR,0,RB,OB,Offense,NULL,Kentucky,SEC,1,69,194,28.65,NULL,NULL,4.52,92.96,84.55,NULL,NULL,8,17.2,-9.2,NULL,NULL,NULL,NULL,NULL,15,81,10.17,-0.73,9.43,0,0.23,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.45,19,68.38,101.3,5.08,5.3,0.45,0.3,3.07,4.2,33.69,34.7,0.1,0.1,102.07,136,0.55,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.2,0,0,0.07,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,rahim-alem-1,0,8,Undrafted,999,Undrafted,Rahim Alem,NULL,NULL,Success,SR,0,DE,DL,Defense,NULL,LSU,SEC,1,75,251,31.37,NULL,NULL,4.75,98.61,101.65,30.5,7804.03,NULL,19.8,NULL,106,19444.47,7.54,4.8,75.77,77,11,2.28,10.42,12.7,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.54,0.53,1,1.3,2.54,0.57,0.58,0.33,0.35,0,0,0.1,0.15,0.1,0.15,0,0,0,0,0,0
2011,rahim-moore-1,1,2,Rounds 1-3,45,DEN,Rahim Moore,20,14.1,Success,JR,1,FS,DB,Defense,21,UCLA,Pac-10,1,72,202,27.39,30.25,9.63,4.58,91.82,89.02,35,7491.16,11,16,-5,115,19825.4,6.98,3.96,98.71,104,86,-2.55,3.18,0.62,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72,4.25,1.64,2.17,4.36,6.42,0.12,0.25,0,0,0.52,0.08,0,0,0,0,0,0,0,0,0,0
