Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Exp_Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Pass_Att_PG_Prior,Pass_Att_PG_Draft,Pass_Cmp_PG_Prior,Pass_Cmp_PG_Draft,Pass_Pct_Prior,Pass_Pct_Draft,Pass_Yds_PG_Prior,Pass_Yds_PG_Draft,Pass_TD_PG_Prior,Pass_TD_PG_Draft,Pass_Int_PG_Prior,Pass_Int_PG_Draft,Pass_YA_Prior,Pass_YA_Draft,Pass_AYA_Prior,Pass_AYA_Draft,Pass_Rate_Prior,Pass_Rate_Draft,Rush_Att_PG_Prior,Rush_Att_PG_Draft,Rush_Yds_PG_Prior,Rush_Yds_PG_Draft,Rush_Avg_Prior,Rush_Avg_Draft,Rush_TD_PG_Prior,Rush_TD_PG_Draft,Rec_PG_Prior,Rec_PG_Draft,Rec_Yds_PG_Prior,Rec_Yds_PG_Draft,Rec_TD_PG_Prior,Rec_TD_PG_Draft,Scrim_Yds_PG_Prior,Scrim_Yds_PG_Draft,Scrim_TD_PG_Prior,Scrim_TD_PG_Draft,Kick_FGA_PG_Prior,Kick_FGA_PG_Draft,Kick_FGM_PG_Prior,Kick_FGM_PG_Draft,Kick_FG_pct_Prior,Kick_FG_pct_Draft,Kick_XPA_PG_Prior,Kick_XPA_PG_Draft,Kick_XPM_PG_Prior,Kick_XPM_PG_Draft,Kick_XP_pct_Prior,Kick_XP_pct_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Def_Solo_Tackles_PG_Prior,Def_Solo_Tackles_PG_Draft,Def_Ast_Tackles_PG_Prior,Def_Ast_Tackles_PG_Draft,Def_Tot_Tackles_PG_Prior,Def_Tot_Tackles_PG_Draft,Def_Loss_Tackles_PG_Prior,Def_Loss_Tackles_PG_Draft,Def_Sk_PG_Prior,Def_Sk_PG_Draft,Def_Int_PG_Prior,Def_Int_PG_Draft,Def_PD_PG_Prior,Def_PD_PG_Draft,Def_FF_PG_Prior,Def_FF_PG_Draft,Def_FR_PG_Prior,Def_FR_PG_Draft,Def_Int_TD_PG_Prior,Def_Int_TD_PG_Draft,Def_TD_Fumbles_PG_Prior,Def_TD_Fumbles_PG_Draft
2016,aaron-burbridge-1,0,6,Rounds 4-7,213,SFO,Aaron Burbridge,1,0.5,Success,SR,0,WR,Receivers,Offense,22,Michigan State,Big Ten,1,72,206,27.94,31.625,8.25,4.56,95.29,92.39,30.5,6879.54,20,16.5,3.5,115,19907.58,7.22,4.31,81.59,60,25,4.5,10.87,15.36,0,0.08,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.64,3.28,3.14,8.08,4.9,0,0,2.5,6.07,28.63,89.86,0.09,0.5,31.91,93,0.09,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0
2014,aaron-colvin-1,0,4,Rounds 4-7,114,JAX,Aaron Colvin,15,5.8,Success,SR,0,CB,DB,Defense,22,Oklahoma,Big 12,1,71,177,24.68,NULL,NULL,4.51,85.57,81.24,NULL,NULL,NULL,13.6,NULL,NULL,NULL,NULL,NULL,NULL,42,22,6.42,6.77,13.19,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,4,1.36,1,4.59,5,0.26,0.45,0.06,0.09,0.1,0.09,0.21,0.27,0.03,0,0.05,0.09,0,0,0,0
2009,aaron-curry-1,1,1,Rounds 1-3,4,SEA,Aaron Curry,16,32.6,Bust,SR,0,OLB,LB,Defense,23,Wake Forest,ACC,1,74,254,32.61,NULL,NULL,4.52,121.71,122.95,37,8867.82,25,20.9,4.1,124,22281.3,7.15,4.51,96.19,95,16,-0.27,7.71,7.45,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,5.08,2.18,3,5.95,8.08,0.75,1.23,0.18,0.19,0.13,0.08,0,0,0,0,0,0,0.08,0,0,0
2015,aaron-davis-4,0,8,Undrafted,999,Undrafted,Aaron Davis,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,Colorado State,MWC,0,72,225,30.51,31,9,4.95,74.95,72.67,29,7038.61,16,18.8,-2.8,107,19064.49,7.38,4.37,82.63,32,44,4.02,1.44,5.47,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,4.77,4.2,4.31,9.08,9.08,0.48,0.5,0,0,0,0.08,0.16,0.38,0.08,0.08,0.04,0,0,0,0,0
2013,aaron-dobson-1,1,2,Rounds 1-3,59,NWE,Aaron Dobson,6,11.6,Bust,SR,0,WR,Receivers,Offense,22,Marshall,CUSA,0,75,210,26.25,NULL,NULL,4.37,115.17,118.71,NULL,NULL,NULL,14.7,NULL,NULL,NULL,NULL,NULL,NULL,7,123,9.91,-15.94,-6.04,0,0.28,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.51,0,6.33,0,0,0,2.92,5.7,46.46,67.9,0.57,0.3,46.97,67.9,0.57,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.05,0.1,0.14,0.1,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0
2014,aaron-donald-1,1,1,Rounds 1-3,13,STL,Aaron Donald,82,25,Success,SR,0,DT,DL,Defense,23,Pitt,ACC,1,73,285,37.6,32.63,9.88,4.68,118.82,117.61,32,8733.8,35,25.5,9.5,116,21684.75,7.11,4.39,114.06,85,71,3.74,-0.02,3.72,1,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77,3.31,1.92,1.23,4.69,4.54,1.44,2.19,0.71,0.85,0,0,0.27,0.23,0.08,0.31,0,0,0,0,0,0
2005,aaron-francisco-1,0,8,Undrafted,999,Undrafted,Aaron Francisco,NULL,NULL,Success,SR,0,FS,DB,Defense,NULL,BYU,MWC,0,74,211,27.09,31.63,9.63,4.74,83.6,84.45,35,7676.06,17,15.6,1.4,113,19701.94,6.96,4.07,99.79,69,71,1.95,2.23,4.18,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.09,0,0,0,0,0,0,0,0,0,0
2020,aaron-fuller-1,0,8,Undrafted,999,Undrafted,Aaron Fuller,NULL,NULL,Success,SR,0,WR,Receivers,Offense,NULL,Washington,Pac-12,1,71,188,26.22,29.75,8.875,4.59,84.71,80.43,34,7049.36,NULL,15,NULL,118,20000.32,7.14,NULL,NULL,41,16,4.24,8.14,12.38,0,0.12,0.24,0.03,0.08,0.03,0,1,0,0.65,0,0.03,0,0,0,22,0,42,0,614.8,0,0.06,0,0.12,0,2,0,0,0,2.94,4.92,39.68,58.5,0.21,0.5,39.79,58.5,0.21,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.06,0,0,0.08,0.06,0.08,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,aaron-hernandez-1,0,4,Rounds 4-7,113,NWE,Aaron Hernandez,22,5.8,Success,JR,1,TE,Receivers,Offense,20,Florida,SEC,1,74,245,31.45,NULL,NULL,4.64,105.71,106.79,NULL,NULL,NULL,19.8,NULL,NULL,NULL,NULL,NULL,NULL,10,4,5.61,15.54,21.15,0,0.1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,1.14,0,16,0,0,1.65,4.86,20.46,60.71,0.27,0.36,20.46,61.86,0.27,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,aaron-hester-1,0,8,Undrafted,999,Undrafted,Aaron Hester,NULL,NULL,Success,SR,0,CB,DB,Defense,NULL,UCLA,Pac-12,1,74,198,25.42,32.48,10.38,4.62,86.92,87.81,29,6483.92,NULL,14,NULL,112,19280.69,7.26,4.33,76.81,31,61,6.16,2.59,8.75,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,2.21,0.72,0.93,3,3.14,0.14,0.14,0,0,0.14,0.07,0.38,0,0,0,0,0,0,0,0,0
2017,aaron-jones-6,0,5,Rounds 4-7,182,GNB,Aaron Jones,20,1.8,Success,JR,1,RB,OB,Offense,22,UTEP,CUSA,0,69,208,30.71,32.5,9.5,4.56,96.21,87.51,37.5,7999.87,16,19,-3,127,21798.8,6.82,4.2,98.73,85,105,-6.45,-6.88,-13.33,0,0.2,0.46,0.04,0.08,0,0.08,0,100,0,0.25,0,0.08,0,0,0,3,0,23,0,455.2,18.65,19.08,101.78,147.75,5.46,7.7,0.7,1.42,1.87,2.33,17.96,19.42,0.17,0.25,119.74,167.17,0.87,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0.08,0.26,0.08,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0
2009,aaron-kelly-1,0,8,Undrafted,999,Undrafted,Aaron Kelly,NULL,NULL,Success,SR,0,WR,Receivers,Offense,NULL,Clemson,ACC,1,76,204,24.83,NULL,NULL,4.49,100.39,105.55,38,7994.78,11,13.2,-2.2,119,20483.2,7.25,4.45,76.21,60,13,0.67,6.3,6.97,0,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34,5.15,52.92,55.54,0.42,0.31,52.92,55.54,0.42,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,aaron-lockett-1,0,7,Rounds 4-7,254,TAM,Aaron Lockett,0,0.1,Bust,SR,0,WR,Receivers,Offense,NULL,Kansas State,Big 12,1,67,155,24.27,29,7.13,4.31,89.84,78.19,35,6525.58,NULL,13.9,NULL,119,19476.54,6.84,4.11,75.47,34,7,-0.34,9.97,9.63,0,0.16,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.36,1.81,0.36,5.91,1,0,0,3.14,2.18,56.75,32.45,0.31,0.27,58.56,32.82,0.31,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,aaron-lynch-1,0,5,Rounds 4-7,150,SFO,Aaron Lynch,13,3.4,Success,SO,1,DE,DL,Defense,21,South Florida,American,0,77,249,29.52,NULL,NULL,4.76,97.01,104.02,NULL,NULL,18,18,0,NULL,NULL,NULL,NULL,NULL,122,76,-11.38,-2.17,-13.56,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,1.42,1.17,1,2.75,2.42,0.58,1,0.46,0.42,0,0,0.17,0.08,0.08,0,0,0.08,0,0,0,0.08
2009,aaron-maybin-1,1,1,Rounds 1-3,11,BUF,Aaron Maybin,5,26.2,Bust,SO,1,DE,DL,Defense,21,Penn State,Big Ten,1,76,249,30.31,NULL,NULL,4.64,107.44,112.97,38,8919.27,22,18.8,3.2,124,22178.58,7.52,4.38,86.92,11,8,8.19,9.62,17.82,1,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,2.31,0.31,1.46,0.92,3.77,0.35,1.54,0.31,0.92,0,0,0.08,0.23,0.08,0.23,0,0,0,0,0,0
2014,aaron-murray-1,0,5,Rounds 4-7,163,KAN,Aaron Murray,0,2.7,Bust,SR,0,QB,QB,Offense,23,Georgia,SEC,1,72,207,28.07,NULL,NULL,4.84,75.44,73.15,NULL,NULL,NULL,16.6,NULL,NULL,NULL,NULL,NULL,NULL,22,89,13.03,-0.21,12.82,0,NULL,NULL,27.59,31.55,16.98,20.45,0.62,64.8,246.12,279.55,2.32,2.36,0.78,0.82,8.92,8.9,9.33,9.2,158.55,158.8,5.68,4.82,5.12,16.91,0.9,3.5,0.22,0.64,0.02,0,-0.07,0,0,0,5.05,16.91,0.22,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,aaron-pettrey-1,0,8,Undrafted,999,Undrafted,Aaron Pettrey,NULL,NULL,Success,SR,0,K,Kicking,Special teams,NULL,Ohio State,Big Ten,1,73,202,26.65,NULL,NULL,4.94,67.84,67.15,NULL,NULL,NULL,15.2,NULL,NULL,NULL,NULL,NULL,NULL,50,5,1.58,13.13,14.71,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,2,0.58,1.4,0.79,70,2.27,3.1,2.15,3,0.95,96.8,0,0,0.12,0.2,0.04,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,aaron-rodgers-1,1,1,Rounds 1-3,24,GNB,Aaron Rodgers,142,19.9,Success,JR,1,QB,QB,Offense,21,California,Pac-10,1,74,223,28.63,32.25,10.13,4.71,90.63,91.55,34.5,7845.5,NULL,17.1,NULL,110,19485.94,7.38,NULL,NULL,7,8,9.23,12.03,21.26,0,NULL,NULL,26.85,26.33,16.54,17.42,0.62,66.1,223.31,213.83,1.46,2,0.38,0.67,8.32,8.1,8.76,8.5,146.58,154.3,6.62,6.17,16.15,10.5,2.44,1.7,0.38,0.25,0,0.08,0,0.83,0,0,16.15,11.33,0.38,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,aaron-ross-1,1,1,Rounds 1-3,20,NYG,Aaron Ross,21,21.5,Bust,SR,0,CB,DB,Defense,24,Texas,Big 12,1,72,193,26.17,32.38,9,4.44,99.32,96.3,34,7152.09,17,14.9,2.1,118,20103.04,6.67,4.15,98.57,6,26,7.27,4.92,12.18,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08,0.68,3.62,0.57,0.77,1.24,4.38,0.05,0.15,0,0.08,0.11,0.46,0,0,0,0,0,0,0,0,0,0.08
2007,aaron-rouse-1,1,3,Rounds 1-3,89,GNB,Aaron Rouse,8,7.8,Success,SR,0,SS,DB,Defense,23,Virginia Tech,ACC,1,76,223,27.14,34.75,9.38,4.58,101.36,106.58,35,7922.59,16,15.6,0.4,NULL,NULL,NULL,NULL,NULL,49,1,2.54,9.93,12.47,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,1.85,3.23,2.54,5.92,4.38,0.35,0.15,0,0,0.31,0.08,0,0,0,0,0,0,0,0,0,0
2000,aaron-shea-1,0,4,Rounds 4-7,110,CLE,Aaron Shea,6,6.1,Bust,NULL,N/A,FB,OB,Offense,23,Michigan,Big Ten,1,76,253,30.79,31.5,9.88,4.81,94.53,99.39,37.5,8924.36,NULL,19.3,NULL,114,20718.98,6.72,4.3,120.09,NULL,NULL,9.72,7.05,16.77,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2.28,2.82,4.56,2.8,0,0,0.84,2.82,8.41,21.73,0.06,0.27,10.69,24.55,0.06,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,aaron-walker-2,0,5,Rounds 4-7,161,SFO,Aaron Walker,3,2.8,Success,SR,0,TE,Receivers,Offense,23,Florida,SEC,1,78,252,29.12,34.13,10.25,4.72,101.55,111.01,33.5,8287.11,24,17.7,6.3,115,20852.61,7.57,4.3,88.86,69,31,2.08,6.5,8.58,0,0.05,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,2.08,10.3,28.92,0.15,0.31,10.3,28.92,0.15,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,aaron-williams-2,1,2,Rounds 1-3,34,BUF,Aaron Williams,18,16.7,Success,JR,1,CB,DB,Defense,21,Texas,Big 12,1,72,204,27.66,31.5,9.25,4.55,95.2,92.3,37.5,7917.7,18,16.2,1.8,127,21716.63,6.72,4.07,105.35,88,50,-2.82,4.53,1.71,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35,2.73,0.62,1.45,1.96,4.18,0.25,0.45,0.08,0.09,0.15,0,0,0,0,0,0,0,0.04,0,0,0
2002,abdual-howard-1,0,8,Undrafted,999,Undrafted,Abdual Howard,NULL,NULL,Success,SR,0,SS,DB,Defense,NULL,Florida State,ACC,1,72,209,28.34,30.75,10.25,4.64,90.18,87.43,NULL,NULL,NULL,16.8,NULL,120,20740.1,NULL,NULL,NULL,21,65,9.71,3.08,12.79,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.09,0,0,0,0,0,0,0.03,0.09,0,0
2006,abdul-hodge-1,1,3,Rounds 1-3,67,GNB,Abdul Hodge,2,10.4,Bust,SR,0,ILB,LB,Defense,23,Iowa,Big Ten,1,72,236,32,32.5,8.88,4.76,91.94,89.14,31,7572.95,NULL,20.2,NULL,108,19444.66,7.09,4.3,98.16,37,22,3.66,7.64,11.3,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5.17,0,13.17,0,0.92,0,0.08,0,0,0,0,0,0.25,0.08,0,0,0,0,0
2005,abraham-elimimian-1,0,8,Undrafted,999,Undrafted,Abraham Elimimian,NULL,NULL,Success,SR,0,CB,DB,Defense,NULL,Hawaii,WAC,0,70,190,27.26,30.88,9.13,4.62,83.41,77.52,39,7861.34,14,16,-2,121,20503.94,NULL,4.05,NULL,9,115,6.79,-6.23,0.56,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.42,0,0,0,0,0.03,0,0,0.08,0,0.08
2007,abraham-wright-1,0,7,Rounds 4-7,238,MIA,Abraham Wright,0,0.1,Bust,SR,0,DE,DL,Defense,NULL,Colorado,Big 12,1,74,242,31.07,34.88,10,4.9,83.96,84.82,31,7696.22,24,19.4,4.6,111,20030.46,7.2,4.46,91.65,107,57,-6.7,0.52,-6.18,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,2.17,1,1.33,2.62,3.5,0.54,1.17,0.38,1,0.08,0,0,0.17,0,0.08,0,0,0,0,0,0
2013,abry-jones-1,0,8,Undrafted,999,Undrafted,Abry Jones,NULL,NULL,Success,SR,0,DT,DL,Defense,NULL,Georgia,SEC,1,75,313,39.12,35.08,9.75,5.06,95.49,98.43,26.5,8461.06,30,27.5,2.5,101,19947.32,NULL,NULL,NULL,18,18,9.85,8.08,17.93,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0,1.13,0,2.31,0,0.32,0,0.13,0,0,0,0.08,0,0.05,0,0,0,0,0,0,0
2013,ace-sanders-1,0,4,Rounds 4-7,101,JAX,Ace Sanders,3,6.8,Bust,JR,1,WR,Receivers,Offense,21,South Carolina,SEC,1,67,173,27.09,29.48,8.78,4.58,78.63,68.44,32,6432.85,7,16.1,-9.1,117,19537.98,6.81,4.37,77.51,47,13,5.03,10.94,15.97,0,0.11,0.24,0.07,0.15,0.04,0.08,0.5,50,0.11,1.23,0.04,0.08,0,0,1.5,8,11.5,18,227.6,282.2,0.33,0.23,2.63,0.08,7.89,0.3,0,0,2,3.46,25.89,40.85,0.15,0.69,28.52,40.92,0.15,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.15,0.15,0.08,0,0,0.15,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,adalius-thomas-1,0,6,Rounds 4-7,186,BAL,Adalius Thomas,64,1.6,Success,JR,1,DE,DL,Defense,23,Southern Mississippi,CUSA,0,74,270,34.66,33,9.25,4.56,124.89,126.17,38.5,9427.79,NULL,22.9,NULL,120,21993.3,NULL,4.42,NULL,NULL,NULL,-0.19,9.94,9.75,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
2001,adam-archuleta-1,1,1,Rounds 1-3,20,STL,Adam Archuleta,33,21.5,Success,SR,0,SS,DB,Defense,23,Arizona State,Pac-10,1,72,211,28.61,30.5,7.75,4.46,106.65,103.4,NULL,NULL,31,17.1,13.9,NULL,NULL,NULL,NULL,NULL,49,57,4.24,1.67,5.92,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.08,0,0,0,0,0,0,0,0,0,0
2008,adam-bishop-1,0,8,Undrafted,999,Undrafted,Adam Bishop,NULL,NULL,Success,SR,0,TE,Receivers,Offense,NULL,Nevada,WAC,0,77,248,29.41,NULL,NULL,4.98,80.64,86.47,27,7202.77,21,17.9,3.1,113,20462.08,7.14,4.28,102.07,27,97,3.25,-8.34,-5.09,0,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,1.08,6.47,17.15,0.1,0.54,6.47,17.15,0.1,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adam-carriker-1,1,1,Rounds 1-3,13,STL,Adam Carriker,22,25,Bust,SR,0,DE,DL,Defense,23,Nebraska,Big 12,1,78,296,34.2,33.5,9.5,4.9,102.69,112.27,33.5,9191.05,33,23.1,9.9,110,20985.67,7.06,4.18,129.81,17,25,3.79,5.13,8.92,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,1.71,1.42,2,3.58,3.71,1.21,1,0.79,0.5,0,0.07,0.25,0,0,0,0,0,0,0,0,0
2005,adam-finley-1,0,8,Undrafted,999,Undrafted,Adam Finley,NULL,NULL,Success,SR,0,P,Kicking,Special teams,NULL,Michigan,Big Ten,1,76,221,26.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15.3,NULL,NULL,NULL,NULL,NULL,NULL,24,43,8.92,3.31,12.24,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.24,0,0.64,0,0.78,0,0.73,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,adam-gotsis-1,1,2,Rounds 1-3,63,DEN,Adam Gotsis,15,10.9,Success,SR,0,DT,DL,Defense,23,Georgia Tech,ACC,1,76,287,34.93,34.125,10.75,4.88,101.21,106.42,NULL,NULL,NULL,23.5,NULL,NULL,NULL,NULL,NULL,NULL,63,51,-1.32,2.75,1.43,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,2.86,1.08,1.57,2.96,4.43,0.84,0.71,0.34,0.43,0.08,0,0.16,0,0,0,0,0.29,0,0,0,0.14
2007,adam-graessle-1,0,8,Undrafted,999,Undrafted,Adam Graessle,NULL,NULL,Success,SR,0,P,Kicking,Special teams,NULL,Pitt,Big East,1,76,215,26.17,NULL,NULL,4.84,78.36,82.39,NULL,NULL,NULL,14.6,NULL,NULL,NULL,NULL,NULL,NULL,14,60,4.83,-0.26,4.57,0,NULL,NULL,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.3,0,7,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
