Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Adj_Pass_Att_PG_Prior,Adj_Pass_Att_PG_Draft,Adj_Pass_Cmp_PG_Prior,Adj_Pass_Cmp_PG_Draft,Pass_Pct_Prior,Pass_Pct_Draft,Adj_Pass_Yds_PG_Prior,Adj_Pass_Yds_PG_Draft,Adj_Pass_TD_PG_Prior,Adj_Pass_TD_PG_Draft,Adj_Pass_Int_PG_Prior,Adj_Pass_Int_PG_Draft,Pass_YA_Prior,Pass_YA_Draft,Pass_AYA_Prior,Pass_AYA_Draft,Pass_Rate_Prior,Pass_Rate_Draft,Adj_Rush_Att_PG_Prior,Adj_Rush_Att_PG_Draft,Adj_Rush_Yds_PG_Prior,Adj_Rush_Yds_PG_Draft,Rush_Avg_Prior,Rush_Avg_Draft,Adj_Rush_TD_PG_Prior,Adj_Rush_TD_PG_Draft,Adj_Rec_PG_Prior,Adj_Rec_PG_Draft,Adj_Rec_Yds_PG_Prior,Adj_Rec_Yds_PG_Draft,Adj_Rec_TD_PG_Prior,Adj_Rec_TD_PG_Draft,Adj_Scrim_Yds_PG_Prior,Adj_Scrim_Yds_PG_Draft,Adj_Scrim_TD_PG_Prior,Adj_Scrim_TD_PG_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2016,aaron-burbridge-1,0,6,Rounds 4-7,213,SFO,Aaron Burbridge,1,0.5,Success,SR,0,WR,Receivers,Offense,22,Michigan State,Big Ten,1,72,206,27.94,31.625,8.25,4.56,95.29,92.39,30.5,6879.54,20,3.5,115,19907.58,7.22,4.31,81.59,60,25,4.5,10.87,15.36,0,0.08,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.57,2.88,2.8,8.13,4.9,0,0,2.33,5.8,26.15,85.77,0.08,0.48,29.02,88.57,0.08,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,aaron-colvin-1,0,4,Rounds 4-7,114,JAX,Aaron Colvin,15,5.8,Success,SR,0,CB,DB,Defense,22,Oklahoma,Big 12,1,71,177,24.68,NULL,NULL,4.51,85.57,81.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,22,6.42,6.77,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,3.99,1.26,1,4.27,4.99,0.24,0.45,0.06,0.09,0.1,0.09,0.17,0.26,0.02,0,0.05,0.09,0,0,0,0
2009,aaron-curry-1,1,1,Rounds 1-3,4,SEA,Aaron Curry,16,32.6,Bust,SR,0,OLB,LB,Defense,23,Wake Forest,ACC,1,74,254,32.61,NULL,NULL,4.52,121.71,122.95,37,8867.82,25,4.1,124,22281.3,7.15,4.51,96.19,95,16,-0.27,7.71,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44,5.11,2,3.02,5.44,8.13,0.69,1.24,0.15,0.2,0.1,0.08,0,0,0,0,0,0,0.06,0,0,0
2015,aaron-davis-4,0,8,Undrafted,999,Undrafted,Aaron Davis,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,Colorado State,MWC,0,72,225,30.51,31,9,4.95,74.95,72.67,29,7038.61,16,-2.8,107,19064.49,7.38,4.37,82.63,32,44,4.02,1.44,5.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,4.19,1.52,3.79,3.25,7.98,0.15,0.44,0,0,0,0.07,0.04,0.35,0.04,0.07,0.02,0,0,0,0,0
2013,aaron-dobson-1,1,2,Rounds 1-3,59,NWE,Aaron Dobson,6,11.6,Bust,SR,0,WR,Receivers,Offense,22,Marshall,CUSA,0,75,210,26.25,NULL,NULL,4.37,115.17,118.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,123,9.91,-15.94,-6.04,0,0.28,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.63,0,3.33,0,0,0,2.65,3.38,42.48,40.26,0.52,0.18,43.12,40.26,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,aaron-donald-1,1,1,Rounds 1-3,13,STL,Aaron Donald,82,25,Success,SR,0,DT,DL,Defense,23,Pitt,ACC,1,73,285,37.6,32.63,9.88,4.68,118.82,117.61,32,8733.8,35,9.5,116,21684.75,7.11,4.39,114.06,85,71,3.74,-0.02,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73,3.26,0.67,1.21,1.4,4.47,0.46,2.16,0.3,0.91,0,0,0.11,0.25,0.02,0.3,0,0,0,0,0,0
2005,aaron-francisco-1,0,8,Undrafted,999,Undrafted,Aaron Francisco,NULL,NULL,Success,SR,0,FS,DB,Defense,NULL,BYU,MWC,0,74,211,27.09,31.63,9.63,4.74,83.6,84.45,35,7676.06,17,1.4,113,19701.94,6.96,4.07,99.79,69,71,1.95,2.23,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.08,0,0,0,0,0,0,0,0,0,0
2020,aaron-fuller-1,0,8,Undrafted,999,Undrafted,Aaron Fuller,NULL,NULL,Success,SR,0,WR,Receivers,Offense,NULL,Washington,Pac-12,1,71,188,26.22,29.75,8.875,4.59,84.71,80.43,34,7049.36,NULL,NULL,118,20000.32,7.14,NULL,NULL,41,16,4.24,8.14,12.38,0,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.12,0,0.67,0,0,0,2.95,4.67,38.76,55.57,0.2,0.47,38.88,55.57,0.07,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,aaron-hernandez-1,0,4,Rounds 4-7,113,NWE,Aaron Hernandez,22,5.8,Success,JR,1,TE,Receivers,Offense,20,Florida,SEC,1,74,245,31.45,NULL,NULL,4.64,105.71,106.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,4,5.61,15.54,21.15,0,0.1,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,1.01,0,16,0,0,2.04,5.6,24.95,70.05,0.33,0.41,24.95,71.07,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,aaron-hester-1,0,8,Undrafted,999,Undrafted,Aaron Hester,NULL,NULL,Success,SR,0,CB,DB,Defense,NULL,UCLA,Pac-12,1,74,198,25.42,32.48,10.38,4.62,86.92,87.81,29,6483.92,NULL,NULL,112,19280.69,7.26,4.33,76.81,31,61,6.16,2.59,8.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,1.94,0.48,0.81,2.38,2.75,0.1,0.13,0,0,0.1,0.06,0.26,0,0,0,0,0,0,0,0,0
2017,aaron-jones-6,0,5,Rounds 4-7,182,GNB,Aaron Jones,20,1.8,Success,JR,1,RB,OB,Offense,22,UTEP,CUSA,0,69,208,30.71,32.5,9.5,4.56,96.21,87.51,37.5,7999.87,16,-3,127,21798.8,6.82,4.2,98.73,85,105,-6.45,-6.88,-13.33,0,0.2,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,19.6,85.27,150.89,5.73,7.7,0.52,1.45,2.72,2.56,28.26,21.31,0.27,0.27,113.53,172.2,0.78,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,aaron-kelly-1,0,8,Undrafted,999,Undrafted,Aaron Kelly,NULL,NULL,Success,SR,0,WR,Receivers,Offense,NULL,Clemson,ACC,1,76,204,24.83,NULL,NULL,4.49,100.39,105.55,38,7994.78,11,-2.2,119,20483.2,7.25,4.45,76.21,60,13,0.67,6.3,6.97,0,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,5.02,49.83,54.15,0.39,0.3,49.83,54.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,aaron-lockett-1,0,7,Rounds 4-7,254,TAM,Aaron Lockett,0,0.1,Bust,SR,0,WR,Receivers,Offense,NULL,Kansas State,Big 12,1,67,155,24.27,29,7.13,4.31,89.84,78.19,35,6525.58,NULL,NULL,119,19476.54,6.84,4.11,75.47,34,7,-0.34,9.97,9.63,0,0.16,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.23,1.22,0.23,5.97,1,0,0,1.07,2.88,17.28,42.84,0.06,0.36,18.5,43.07,0.06,0.36,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,aaron-lynch-1,0,5,Rounds 4-7,150,SFO,Aaron Lynch,13,3.4,Success,SO,1,DE,DL,Defense,21,South Florida,American,0,77,249,29.52,NULL,NULL,4.76,97.01,104.02,NULL,NULL,18,0,NULL,NULL,NULL,NULL,NULL,122,76,-11.38,-2.17,-13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,1.42,1.11,1,2.62,2.42,0.56,1,0.44,0.44,0,0,0.16,0.09,0.08,0,0,0.08,0,0,0,0.08
2009,aaron-maybin-1,1,1,Rounds 1-3,11,BUF,Aaron Maybin,5,26.2,Bust,SO,1,DE,DL,Defense,21,Penn State,Big Ten,1,76,249,30.31,NULL,NULL,4.64,107.44,112.97,38,8919.27,22,3.2,124,22178.58,7.52,4.38,86.92,11,8,8.19,9.62,17.82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,2.35,0.29,1.49,0.88,3.84,0.33,1.57,0.27,0.9,0,0,0.07,0.23,0.07,0.24,0,0,0,0,0,0
2014,aaron-murray-1,0,5,Rounds 4-7,163,KAN,Aaron Murray,0,2.7,Bust,SR,0,QB,QB,Offense,23,Georgia,SEC,1,72,207,28.07,NULL,NULL,4.84,75.44,73.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,89,13.03,-0.21,12.82,0,0,0,28.49,27.18,17.55,17.62,61.57,64.8,254.92,241.9,2.38,2.04,0.8,0.7,8.93,8.9,9.37,9.2,158.57,158.8,5.29,4.44,4.93,15.53,0.67,3.5,0.21,0.59,0.02,0,-0.07,0,0,0,2.2,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,aaron-rodgers-1,1,1,Rounds 1-3,24,GNB,Aaron Rodgers,142,19.9,Success,JR,1,QB,QB,Offense,21,California,Pac-10,1,74,223,28.63,32.25,10.13,4.71,90.63,91.55,34.5,7845.5,NULL,NULL,110,19485.94,7.38,NULL,NULL,7,8,9.23,12.03,21.26,0,0,0,24.93,28.64,15.36,18.94,61.6,66.1,206.91,231.99,1.36,2.18,0.36,0.73,8.3,8.1,8.8,8.5,146.6,154.3,5.98,5.09,14.36,8.65,2.4,1.7,0.35,0.21,0,0.09,0,0.91,0,0,0,9.56,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,aaron-ross-1,1,1,Rounds 1-3,20,NYG,Aaron Ross,21,21.5,Bust,SR,0,CB,DB,Defense,24,Texas,Big 12,1,72,193,26.17,32.38,9,4.44,99.32,96.3,34,7152.09,17,2.1,118,20103.04,6.67,4.15,98.57,6,26,7.27,4.92,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.08,0.6,4.05,0.51,0.86,1.11,4.91,0.05,0.17,0,0.07,0.1,0.44,0,0,0,0,0,0,0,0,0,0.09
2007,aaron-rouse-1,1,3,Rounds 1-3,89,GNB,Aaron Rouse,8,7.8,Success,SR,0,SS,DB,Defense,23,Virginia Tech,ACC,1,76,223,27.14,34.75,9.38,4.58,101.36,106.58,35,7922.59,16,0.4,NULL,NULL,NULL,NULL,NULL,49,1,2.54,9.93,12.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88,2.1,3.46,2.88,6.34,4.98,0.37,0.17,0,0,0.31,0.1,0,0,0,0,0,0,0,0,0,0
2003,aaron-walker-2,0,5,Rounds 4-7,161,SFO,Aaron Walker,3,2.8,Success,SR,0,TE,Receivers,Offense,23,Florida,SEC,1,78,252,29.12,34.13,10.25,4.72,101.55,111.01,33.5,8287.11,24,6.3,115,20852.61,7.57,4.3,88.86,69,31,2.08,6.5,8.58,0,0.05,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.57,7.03,21.82,0.11,0.23,7.03,21.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,aaron-williams-2,1,2,Rounds 1-3,34,BUF,Aaron Williams,18,16.7,Success,JR,1,CB,DB,Defense,21,Texas,Big 12,1,72,204,27.66,31.5,9.25,4.55,95.2,92.3,37.5,7917.7,18,1.8,127,21716.63,6.72,4.07,105.35,88,50,-2.82,4.53,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.72,0.61,1.45,1.95,4.16,0.25,0.45,0.07,0.11,0.14,0,0,0,0,0,0,0,0.03,0,0,0
2002,abdual-howard-1,0,8,Undrafted,999,Undrafted,Abdual Howard,NULL,NULL,Success,SR,0,SS,DB,Defense,NULL,Florida State,ACC,1,72,209,28.34,30.75,10.25,4.64,90.18,87.43,NULL,NULL,NULL,NULL,120,20740.1,NULL,NULL,NULL,21,65,9.71,3.08,12.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.08,0,0,0,0,0,0,0,0.08,0,0
2006,abdul-hodge-1,1,3,Rounds 1-3,67,GNB,Abdul Hodge,2,10.4,Bust,SR,0,ILB,LB,Defense,23,Iowa,Big Ten,1,72,236,32,32.5,8.88,4.76,91.94,89.14,31,7572.95,NULL,NULL,108,19444.66,7.09,4.3,98.16,37,22,3.66,7.64,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,4.4,0,11.21,0,0.78,0,0.07,0,0,0,0,0,0.21,0.07,0,0,0,0,0
2005,abraham-elimimian-1,0,8,Undrafted,999,Undrafted,Abraham Elimimian,NULL,NULL,Success,SR,0,CB,DB,Defense,NULL,Hawaii,WAC,0,70,190,27.26,30.88,9.13,4.62,83.41,77.52,39,7861.34,14,-2,121,20503.94,NULL,4.05,NULL,9,115,6.79,-6.23,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.38,0,0,0,0,0.02,0,0,0.08,0,0.07
2007,abraham-wright-1,0,7,Rounds 4-7,238,MIA,Abraham Wright,0,0.1,Bust,SR,0,DE,DL,Defense,NULL,Colorado,Big 12,1,74,242,31.07,34.88,10,4.9,83.96,84.82,31,7696.22,24,4.6,111,20030.46,7.2,4.46,91.65,107,57,-6.7,0.52,-6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,2.11,0.9,1.3,2.34,3.41,0.48,1.14,0.31,0.92,0.06,0,0,0.15,0,0.08,0,0,0,0,0,0
2013,abry-jones-1,0,8,Undrafted,999,Undrafted,Abry Jones,NULL,NULL,Success,SR,0,DT,DL,Defense,NULL,Georgia,SEC,1,75,313,39.12,35.08,9.75,5.06,95.49,98.43,26.5,8461.06,30,2.5,101,19947.32,NULL,NULL,NULL,18,18,9.85,8.08,17.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,1.13,0,2.3,0,0.32,0,0.12,0,0,0,0.07,0,0.05,0,0,0,0,0,0,0
2013,ace-sanders-1,0,4,Rounds 4-7,101,JAX,Ace Sanders,3,6.8,Bust,JR,1,WR,Receivers,Offense,21,South Carolina,SEC,1,67,173,27.09,29.48,8.78,4.58,78.63,68.44,32,6432.85,7,-9.1,117,19537.98,6.81,4.37,77.51,47,13,5.03,10.94,15.97,0,0.11,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.21,2.36,0.06,7.5,0.3,0,0,2.34,3.7,30.31,43.64,0.17,0.74,32.67,43.71,0.17,0.74,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,adalius-thomas-1,0,6,Rounds 4-7,186,BAL,Adalius Thomas,64,1.6,Success,JR,1,DE,DL,Defense,23,Southern Mississippi,CUSA,0,74,270,34.66,33,9.25,4.56,124.89,126.17,38.5,9427.79,NULL,NULL,120,21993.3,NULL,4.42,NULL,NULL,NULL,-0.19,9.94,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,adam-archuleta-1,1,1,Rounds 1-3,20,STL,Adam Archuleta,33,21.5,Success,SR,0,SS,DB,Defense,23,Arizona State,Pac-10,1,72,211,28.61,30.5,7.75,4.46,106.65,103.4,NULL,NULL,31,13.9,NULL,NULL,NULL,NULL,NULL,49,57,4.24,1.67,5.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0
2008,adam-bishop-1,0,8,Undrafted,999,Undrafted,Adam Bishop,NULL,NULL,Success,SR,0,TE,Receivers,Offense,NULL,Nevada,WAC,0,77,248,29.41,NULL,NULL,4.98,80.64,86.47,27,7202.77,21,3.1,113,20462.08,7.14,4.28,102.07,27,97,3.25,-8.34,-5.09,0,0.04,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.09,7.16,17.42,0.09,0.55,7.16,17.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,adam-carriker-1,1,1,Rounds 1-3,13,STL,Adam Carriker,22,25,Bust,SR,0,DE,DL,Defense,23,Nebraska,Big 12,1,78,296,34.2,33.5,9.5,4.9,102.69,112.27,33.5,9191.05,33,9.9,110,20985.67,7.06,4.18,129.81,17,25,3.79,5.13,8.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,1.77,1.26,2.06,3.2,3.83,1.08,1.03,0.69,0.47,0,0.07,0.22,0,0,0,0,0,0,0,0,0
2016,adam-gotsis-1,1,2,Rounds 1-3,63,DEN,Adam Gotsis,15,10.9,Success,SR,0,DT,DL,Defense,23,Georgia Tech,ACC,1,76,287,34.93,34.125,10.75,4.88,101.21,106.42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63,51,-1.32,2.75,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,2.93,1.08,1.61,2.95,4.55,0.83,0.73,0.31,0.46,0.07,0,0.15,0,0,0,0,0.29,0,0,0,0.15
2006,adam-jennings-1,0,6,Rounds 4-7,184,ATL,Adam Jennings,0,1.7,Bust,SR,0,WR,Receivers,Offense,23,Fresno State,WAC,0,69,181,26.73,28.38,8.63,4.44,93.15,84.73,37.5,7445.18,NULL,NULL,118,19856.51,6.88,4.12,86.54,6,32,4.43,1.28,5.72,0,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0.24,7.15,1.51,7.23,6.3,0.07,0,1.68,1.66,18.32,21.01,0.19,0.23,25.48,22.51,0.26,0.23,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adamm-oliver-1,0,8,Undrafted,999,Undrafted,Adamm Oliver,NULL,NULL,Success,SR,0,DE,DL,Defense,NULL,Georgia Tech,ACC,1,76,268,32.62,NULL,NULL,4.84,97.67,102.7,NULL,NULL,29,7.9,NULL,NULL,NULL,NULL,NULL,69,21,0.34,3.59,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,1.72,1.97,1.64,4.19,3.36,0.64,0.65,0.23,0.38,0,0,0.04,0.08,0.08,0.08,0.04,0,0,0,0,0
2014,adam-muema-1,0,8,Undrafted,999,Undrafted,Adam Muema,NULL,NULL,Success,JR,1,RB,OB,Offense,NULL,San Diego State,MWC,0,70,202,28.98,NULL,NULL,4.56,93.44,86.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58,93,-1.19,-3.49,-4.68,0,0.19,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44,17.57,64.1,86.09,6.1,4.9,0.72,1.03,0.58,1.17,7.35,6.36,0.12,0,71.45,92.45,0.84,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adam-tafralis-1,0,8,Undrafted,999,Undrafted,Adam Tafralis,NULL,NULL,Success,SR,0,QB,QB,Offense,NULL,San Jose State,WAC,0,73,221,29.15,32,9.38,4.78,84.67,83.8,32,7418.97,NULL,NULL,108,19136.5,7.14,4.33,89.38,104,78,-8.9,0.26,-8.64,0,0,0,20.36,26.67,11.45,16.73,53.3,62.8,147.92,202.67,1.11,1.2,0.56,0.73,7.07,7.6,6.93,7.2,123.7,135.6,4.66,6.91,10.2,16.58,2.1,2.4,0.2,0.18,0.05,0.2,0.05,1.67,0,0,1.91,18.25,0.06,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,adarius-bowman-1,0,8,Undrafted,999,Undrafted,Adarius Bowman,NULL,NULL,Success,SR,0,WR,Receivers,Offense,NULL,Oklahoma State,Big 12,1,75,223,27.87,33.75,9.5,4.74,88.35,91.07,NULL,NULL,14,-2.3,NULL,NULL,NULL,NULL,NULL,22,80,7.14,-0.47,6.67,0,0.22,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.21,-0.19,0.63,-1,3,0,0,3.16,6.15,60.35,92.29,0.6,0.73,60.16,92.92,0.55,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,ade-aruna-1,0,6,Rounds 4-7,218,MIN,Ade Aruna,0,0.3,Bust,SR,0,DE,DL,Defense,24,Tulane,American,0,78,262,30.27,34,10.625,4.6,117.03,127.94,38.5,9263.44,18,-0.9,128,23062.37,7.53,4.48,88.15,74,84,-2.43,0.2,-2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83,1.49,0.75,1,2.58,2.49,0.48,0.3,0.32,0.23,0,0,0.07,0.23,0.13,0,0.05,0.1,0,0,0,0
2005,adell-duckett-1,0,8,Undrafted,999,Undrafted,Adell Duckett,NULL,NULL,Success,SR,0,DE,DL,Defense,NULL,Texas Tech,Big 12,1,75,270,33.74,33.75,10,4.93,91.41,94.23,34.5,8811.08,14,-8.1,105,19680.63,7.75,4.35,88.17,8,68,11.01,1.87,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.17,0,0,0,0,0,0,0.07,0,0,0
2016,adolphus-washington-1,1,3,Rounds 1-3,80,BUF,Adolphus Washington,9,8.7,Success,SR,0,DT,DL,Defense,21,Ohio State,Big Ten,1,75,301,37.62,34.5,9.875,5.17,84.26,86.86,27,8291.62,21,-5,99,19392.43,8.06,4.79,77.28,28,3,6.45,14.28,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,1.96,1.01,2.22,2.07,4.19,0.35,0.6,0.15,0.34,0,0.09,0.06,0.09,0.02,0.09,0,0.09,0,0.09,0,0
