Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Adj_Pass_Att_PG_Prior,Adj_Pass_Att_PG_Draft,Adj_Pass_Cmp_PG_Prior,Adj_Pass_Cmp_PG_Draft,Pass_Pct_Prior,Pass_Pct_Draft,Adj_Pass_Yds_PG_Prior,Adj_Pass_Yds_PG_Draft,Adj_Pass_TD_PG_Prior,Adj_Pass_TD_PG_Draft,Adj_Pass_Int_PG_Prior,Adj_Pass_Int_PG_Draft,Pass_YA_Prior,Pass_YA_Draft,Pass_AYA_Prior,Pass_AYA_Draft,Pass_Rate_Prior,Pass_Rate_Draft,Adj_Rush_Att_PG_Prior,Adj_Rush_Att_PG_Draft,Adj_Rush_Yds_PG_Prior,Adj_Rush_Yds_PG_Draft,Rush_Avg_Prior,Rush_Avg_Draft,Adj_Rush_TD_PG_Prior,Adj_Rush_TD_PG_Draft,Adj_Rec_PG_Prior,Adj_Rec_PG_Draft,Adj_Rec_Yds_PG_Prior,Adj_Rec_Yds_PG_Draft,Adj_Rec_TD_PG_Prior,Adj_Rec_TD_PG_Draft,Adj_Scrim_Yds_PG_Prior,Adj_Scrim_Yds_PG_Draft,Adj_Scrim_TD_PG_Prior,Adj_Scrim_TD_PG_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2016,curt-maggitt-1,0,8,Undrafted,999,Undrafted,Curt Maggitt,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,Tennessee,SEC,1,75,247,30.87,33,10.125,4.73,98.69,101.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,16,9.07,4.87,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,1.87,1.19,1.4,2.92,3.27,0.54,1.4,0.31,0,0,0,0,0,0.06,0,0,0,0,0,0,0
2012,cyhl-quarles-1,0,8,Undrafted,999,Undrafted,Cyhl Quarles,NULL,NULL,Success,SR,0,SS,DB,Defense,NULL,Wake Forest,ACC,1,73,213,28.1,32,9.38,4.54,100.27,99.25,32.5,7331.7,19,2.4,119,20668.1,7.21,4.32,84.36,68,65,0.38,-1.04,-0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,3.65,1.23,3.44,3.56,7.09,0.04,0.07,0,0,0.05,0,0,0.2,0,0,0,0.14,0,0,0,0
2012,cyrus-gray-1,0,6,Rounds 4-7,182,KAN,Cyrus Gray,1,1.8,Bust,SR,0,RB,OB,Offense,22,Texas A&M,Big 12,1,70,206,29.55,29.5,9.13,4.4,109.92,102.17,32.5,7187.89,21,3,114,19753.4,7.17,NULL,NULL,11,70,11.59,1.78,13.36,0,0.15,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31,16.15,53.53,85.62,5.1,5.3,0.41,0.98,1.45,2.05,10.76,15.79,0.06,0.2,64.29,101.41,0.47,1.18,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,dadi-nicolas-1,0,6,Rounds 4-7,203,KAN,Dadi Nicolas,1,0.9,Success,SR,0,DE,DL,Defense,23,Virginia Tech,ACC,1,75,235,29.37,34.75,10.375,4.74,93.11,95.97,41,9094.19,14,-3.8,116,20657.54,7.04,4.38,96.72,53,58,4.52,0.52,5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.57,1.26,1.8,2.78,3.37,0.67,0.52,0.35,0.21,0.03,0,0.12,0.17,0,0.15,0.02,0.15,0,0,0,0
2018,daesean-hamilton-1,0,4,Rounds 4-7,113,DEN,Daesean Hamilton,4,5.8,Bust,SR,0,WR,Receivers,Offense,23,Penn State,Big Ten,1,73,203,26.78,31,9.375,NULL,NULL,NULL,34.5,7434.62,NULL,NULL,118,20308.48,6.84,4.15,97.41,7,7,11.03,10.59,21.62,0,0.19,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0.08,0.52,0.16,-2.67,2,0,0,3.78,3.47,47.55,56.14,0.22,0.59,48.07,56.29,0.07,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,daeshon-hall-1,1,3,Rounds 1-3,77,CAR,Daeshon Hall,1,9.1,Bust,SR,0,DE,DL,Defense,22,Texas A&M,SEC,1,77,266,31.54,35,9.625,4.76,103.63,111.12,36,8960.17,18,-2.1,123,22373.66,7.03,4.38,109.86,34,40,5.4,3.37,8.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,1.91,2,1.5,3.12,3.4,0.61,0.88,0.31,0.25,0.04,0,0.06,0.07,0.05,0.14,0,0.14,0,0,0,0
2003,dahrran-diedrick-1,0,8,Undrafted,999,Undrafted,Dahrran Diedrick,NULL,NULL,Success,SR,0,RB,OB,Offense,NULL,Nebraska,Big 12,1,72,228,30.92,30,9.75,4.62,100.09,97.04,37,8333.67,19,-0.2,117,20667.91,7.32,4.44,83.45,58,45,0.16,3.93,4.09,0,0.15,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02,8.65,28.59,45,5.77,5.2,0.34,0.29,0.11,0.51,0.42,2.43,0,0,29.01,47.42,0.34,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,daimion-stafford-1,0,7,Rounds 4-7,248,TEN,Daimion Stafford,7,0.1,Success,SR,0,FS,DB,Defense,22,Nebraska,Big Ten,1,72,221,29.97,31.18,9.25,4.69,91.35,88.57,30.5,7187.7,21,2.7,111,19599.03,7.06,NULL,NULL,28,59,8.87,0.91,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.41,3.44,2.52,3.04,5.94,6.48,0.19,0.24,0.04,0.08,0,0.3,0.83,0,0.07,0,0,0,0,0,0,0
2008,dajuan-morgan-1,1,3,Rounds 1-3,82,KAN,DaJuan Morgan,3,8.5,Bust,JR,1,FS,DB,Defense,22,North Carolina State,ACC,1,72,205,27.8,32.75,9,4.5,99.98,96.94,33,7244.44,21,4.7,119,20503.75,7.12,4.41,81.2,101,68,-2.92,-0.21,-3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,5.18,1.32,1.7,4.26,6.88,0.1,0.14,0,0,0.15,0.22,0,0,0,0,0,0,0,0,0,0
2019,dakota-allen-1,0,7,Rounds 4-7,251,LAR,Dakota Allen,0,0.1,Bust,SR,0,ILB,LB,Defense,23,Texas Tech,Big 12,1,73,232,30.61,31.25,9.25,4.77,89.63,88.72,31.5,7567.87,23,4.1,116,20595.91,6.88,4.04,114.21,17,86,5.12,-0.03,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,2.67,2.97,2.59,6.53,5.26,0.42,0.47,0.06,0,0.14,0,0.16,0.17,0.03,0,0.03,0.17,0,0,0,0.09
