Combine_Year,Player_ID,Top_Talent,Rnd,Round_Cat,Pick,Draft_Team,Player,AV,Exp_AV,Success,Class,Underclassman,Pos,Pos_Group,Pos_Type,Draft_age,School,Conf,Power_Conf,Ht,Wt,BMI,Arm_length,Hand_size,40yd,Speed_Score,HASS,Vertical,Vertical_Jump_Power,Bench,Bench_Diff,BroadJump,Broad_Jump_Power,3Cone,Shuttle,Quix_Score,School_Off_Rnk,School_Def_Rnk,School_Off_Rating,School_Def_Rating,School_Rating,Consensus_AA,Dominator_Rating_Prior,Dominator_Rating_Draft,Non_offensive_TD_PG_Prior,Non_offensive_TD_PG_Draft,Adj_Def_Solo_Tackles_PG_Prior,Adj_Def_Solo_Tackles_PG_Draft,Adj_Def_Ast_Tackles_PG_Prior,Adj_Def_Ast_Tackles_PG_Draft,Adj_Def_Tot_Tackles_PG_Prior,Adj_Def_Tot_Tackles_PG_Draft,Adj_Def_Loss_Tackles_PG_Prior,Adj_Def_Loss_Tackles_PG_Draft,Adj_Def_Sk_PG_Prior,Adj_Def_Sk_PG_Draft,Adj_Def_Int_PG_Prior,Adj_Def_Int_PG_Draft,Adj_Def_PD_PG_Prior,Adj_Def_PD_PG_Draft,Adj_Def_FF_PG_Prior,Adj_Def_FF_PG_Draft,Adj_Def_FR_PG_Prior,Adj_Def_FR_PG_Draft,Adj_Def_Int_TD_PG_Prior,Adj_Def_Int_TD_PG_Draft,Adj_Def_TD_Fumbles_PG_Prior,Adj_Def_TD_Fumbles_PG_Draft
2019,bryson-allen-williams-1,0,8,Undrafted,999,Undrafted,Bryson Allen-Williams,NULL,NULL,Success,SR,0,OLB,LB,Defense,NULL,South Carolina,SEC,1,73,236,31.13,31.5,9.75,4.88,83.23,82.38,NULL,NULL,14,-5.4,NULL,NULL,7.4,NULL,NULL,57,68,5.42,1.92,7.34,0,0,0,0,0,1.87,3,1.4,1.39,3.27,4.39,0.47,1.07,0.2,0.23,0.14,0,0.09,0,0.02,0,0.11,0,0,0,0,0
2017,budda-baker-1,1,2,Rounds 1-3,36,ARI,Budda Baker,20,16.2,Success,JR,1,FS,DB,Defense,21,Washington,Pac-12,1,70,195,27.98,30.75,9,4.45,99.45,92.44,32.5,6961.91,15,-1.6,115,19681.59,6.76,4.08,98.86,8,8,7.59,12.39,19.98,0,0,0,0,0,3.08,3.24,1.37,1.48,4.45,4.72,0.12,0.64,0.03,0.2,0.11,0.13,0.45,0.33,0.06,0.07,0,0,0,0,0,0
2007,buster-davis-1,1,3,Rounds 1-3,69,ARI,Buster Davis,2,10.1,Bust,SR,0,ILB,LB,Defense,23,Florida State,ACC,1,69,239,35.29,30,9.13,4.64,103.12,93.8,31,7634.59,24,1.2,104,18889.58,7.28,4.37,90.82,45,37,3.57,2.63,6.19,0,0,0,0,0,2.76,4.44,3.84,4.05,6.6,8.49,0.76,0.62,0.15,0.36,0,0.07,0.07,0,0,0,0,0,0,0,0,0
2019,byron-cowart-1,0,5,Rounds 4-7,159,NWE,Byron Cowart,1,2.9,Bust,JR,1,DT,DL,Defense,23,Maryland,Big Ten,1,75,298,37.24,33.75,10,5.16,84.07,86.66,30,8692.52,26,0.4,111,21180.93,NULL,NULL,NULL,68,78,2.87,0.01,2.88,0,0,0,0,0,0.58,1.39,0.59,1.54,1.16,2.93,0.15,0.39,0,0.26,0,0.18,0,0,0.08,0.08,0,0,0,0,0,0
2003,byron-hardmon-1,0,8,Undrafted,999,Undrafted,Byron Hardmon,NULL,NULL,Success,SR,0,ILB,LB,Defense,NULL,Florida,SEC,1,73,232,30.61,32.75,10.13,4.76,90.38,89.46,32.5,7722.04,17,-1.9,115,20441.73,7.55,4.41,79.37,69,31,2.08,6.5,8.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.08,0,0,0,0,0,0,0,0.08,0,0
2015,byron-jones-2,1,1,Rounds 1-3,27,DAL,Byron Jones,30,18.8,Success,SR,0,CB,DB,Defense,22,Connecticut,American,0,73,199,26.25,32,10,4.43,103.34,102.29,44.5,8894.22,NULL,NULL,147,24697.47,6.78,3.94,105.48,125,86,-12.13,-3.6,-15.72,0,0,0,0.03,0,3.01,2.43,2.23,1.02,5.24,3.45,0.1,0,0,0,0.15,0.26,0.3,0.53,0,0,0.03,0,0,0.13,0.03,0
2011,byron-maxwell-1,0,6,Rounds 4-7,173,SEA,Byron Maxwell,21,2.2,Success,SR,0,CB,DB,Defense,23,Clemson,ACC,1,72,202,27.39,33.5,9.5,4.43,104.9,101.7,33,7182.81,24,8,124,21213,NULL,NULL,NULL,86,13,0.21,7.14,7.35,0,0,0,0,0,1.91,2.33,0.69,0.98,2.6,3.3,0.2,0.26,0.02,0,0.06,0.16,0.14,0,0.05,0,0,0,0,0,0,0
2019,byron-murphy-1,1,2,Rounds 1-3,33,ARI,Byron Murphy,5,17,Bust,SO,1,CB,DB,Defense,21,Washington,Pac-12,1,71,190,26.5,30.125,8.875,4.55,88.66,84.18,36.5,7475.9,14,-1.2,120,20349.76,NULL,NULL,NULL,89,5,-0.2,11.62,11.42,0,0,0,0,0,2.09,2.62,0.48,1.49,2.57,4.11,0.48,0.28,0.16,0,0.31,0.26,1.09,0.86,0.16,0.07,0,0,0,0.07,0,0
2008,calais-campbell-1,1,2,Rounds 1-3,50,ARI,Calais Campbell,98,13.1,Success,JR,1,DE,DL,Defense,22,Miami (FL),ACC,1,80,290,31.85,35.75,9.5,5.04,89.89,102.07,29.5,8451.07,16,-4.9,111,21016.58,7.45,4.69,93.46,102,53,-3.89,2.66,-1.23,0,0,0,0,0,2.28,2.4,1.12,1.6,3.4,3.99,1.14,1,0.55,0.56,0,0.09,0.3,0,0.13,0,0.04,0,0,0,0,0
2017,caleb-brantley-1,0,6,Rounds 4-7,185,CLE,Caleb Brantley,2,1.7,Success,JR,1,DT,DL,Defense,23,Florida,SEC,1,75,307,38.37,32,9.75,5.14,87.97,90.67,27,8414.88,21,-5.7,105,20440.76,7.66,4.62,94.5,107,6,-2.62,13.6,10.98,0,0,0,0,0,0.78,1.51,1.53,1.41,2.32,2.92,0.51,0.89,0.12,0.27,0,0,0,0,0.11,0.09,0.06,0,0,0,0,0
