Year,Player_ID,NCAA_Link,Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Team,Round,Pick
2000,ChapDo00,https://www.sports-reference.com/cfb/players/doug-chapman-1.html,Doug Chapman,RB,Marshall,70,215,4.56,38.5,16.0,128.0,6.84,4.2,Minnesota Vikings,3,88
2000,CharIk20,https://www.sports-reference.com/cfb/players/ike-charlton-1.html,Ike Charlton,CB,Virginia Tech,71,205,4.47,,16.0,126.0,,,Seattle Seahawks,2,52
2000,,,Chrys Chukwuma,RB,Arkansas,73,232,4.56,,,115.0,,,,999,999
2000,,,Joey Chustz,OT,Louisiana Tech,79,304,5.08,31.0,28.0,103.0,7.65,4.65,Jacksonville Jaguars,4,123
2000,,,Pedro Cirino,FS,Boston Col.,71,197,4.59,,,,,,,999,999
2000,,,John Saint Clair,C,Virginia,77,302,5.2,,25.0,,,,,999,999
2000,ClanKe20,,Kendrick Clancy,DT,Mississippi,73,283,5.25,27.5,25.0,108.0,7.98,4.65,Pittsburgh Steelers,3,72
2000,ClarTr20,,Travis Claridge,OG,USC,77,303,5.15,31.5,29.0,100.0,7.77,4.86,Atlanta Falcons,2,37
2000,ClarDa21,,Danny Clark,ILB,Illinois,74,245,4.75,,20.0,,,,Jacksonville Jaguars,7,245
2000,ClifCh20,,Chad Clifton,OT,Tennessee,77,334,5.05,30.5,24.0,102.0,7.58,4.73,Green Bay Packers,2,44
2000,ColeCh00,https://www.sports-reference.com/cfb/players/chris-cole-2.html,Chris Cole,WR,Texas A&M,72,191,4.37,37.5,,125.0,6.76,4.09,Denver Broncos,3,70
2000,ColeCo21,https://www.sports-reference.com/cfb/players/cosey-coleman-1.html,Cosey Coleman,OG,Tennessee,76,322,5.4,28.0,,101.0,8.15,4.97,Tampa Bay Buccaneers,2,51
2000,ColeCh01,https://www.sports-reference.com/cfb/players/chris-coleman-1.html,Chris Coleman,WR,North Carolina State,72,211,4.61,32.5,,110.0,6.79,4.1,,999,999
2000,ColeLa00,https://www.sports-reference.com/cfb/players/laveranues-coles-1.html,Laveranues Coles,WR,Florida State,71,192,4.41,34.0,,115.0,6.89,4.39,New York Jets,3,78
2000,CombCh21,,Chris Combs,DT,Duke,77,286,5.16,,22.0,,,,Pittsburgh Steelers,6,173
2000,,,Kurth Connell,OT,Washington,76,291,5.49,33.0,27.0,103.0,8.14,4.84,,999,999
2000,,,Rameel Connor,DE,Illinois,75,276,5.0,35.5,25.0,121.0,7.65,4.45,,999,999
2000,,,D.J. Cooper,DT,Arkansas,75,277,5.22,28.0,,108.0,7.41,4.49,,999,999
