Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2000,Adam Davis,Oklahoma State,OG,75.9,309,9.5,32.25,,5.69,,26,92,5,8.51,
2000,JaJuan Dawson,Tulane (LA),WR,73,199,,,,4.55,,34,117,4.16,6.96,
2000,Jerry DeLoach,California,DT,74.9,314,10,33.75,,5.01,19,31.5,101,4.57,7.4,
2000,Mike Derouselle,Houston,DT,74.4,314,10.5,34.5,,5.29,27,27.5,96,4.8,7.67,
2000,Reuben Droughns,Oregon,RB,71.3,215,9,31.25,,4.68,13,30,115,4.41,7.34,12.38
2000,Ron Dugans,Florida State,WR,73.4,206,10,31.5,,4.58,,,117,9.99,9.99,
2000,Deon Dyer,North Carolina,FB,70.9,260,9.88,31.5,,5.03,,28,104,4.81,7.88,12.53
2000,Mario Edwards,Florida State,CB,72.1,191,10,31,,4.46,32,32.5,120,4.55,7.44,
2000,John Engelberger,Virginia Tech,DE,76.3,260,9.25,33.13,,4.74,24,34,115,4.28,6.95,
2000,Dwan Epps,Texas Southern,ILB,73,242,10.75,32.5,,4.68,8,34.5,,9.99,9.99,
2000,Kevin Feterik,Brigham Young,QB,71,207,9,31,18,4.94,,31,106,4.45,7.3,
2000,Aaron Fields,Troy (AL),DE,75.6,243,9,32.5,,4.8,22,34,115,4.56,7.51,
2000,Zeron Flemister,Iowa,TE,76.4,249,9.38,33.38,,4.74,14,37,116,4.16,6.92,11.32
2000,Erik Flowers,Arizona State,DE,76.3,271,8.88,31.88,,4.78,24,33,114,4.15,7.21,11.6
2000,Derrick Foster,Texas A&M-Kingsville,RB,71.4,201,9.75,31.75,,4.45,19,34.5,117,4.36,6.84,11.36
2000,Larry Foster,Louisiana State,WR,69.9,198,9.25,30,,4.57,,37,121,4.06,6.88,11.16
2000,John Frank,Utah,DE,75.8,280,9.5,32,,4.81,32,37,117,4.27,7.07,
2000,Todd Franz,Tulsa (OK),FS,73,199,8.75,30.5,,4.55,14,,,9.99,9.99,
2000,Arturo Freeman,South Carolina,FS,72.4,188,9.5,31,,4.58,14,35.5,124,4.38,6.91,11.2
2000,Byron Frisch,Brigham Young,DE,76.4,281,10,32.25,,4.77,31,34.5,114,4.41,7.2,
2000,Justin Fuente,Murray State (KY),QB,73.4,225,9.13,32,33,5.24,,27.5,100,4.42,7.51,
2000,Mondriel Fulcher,Miami (FL),FB,75.4,253,10.13,32.5,,4.89,18,27,116,4.52,7.46,
2000,Trent Gamble,Wyoming,FS,69.3,186,8.88,30,,4.58,21,37,124,3.9,6.6,11.01
2000,Jason Gavadza,Kent State (OH),TE,75,249,,,,4.62,22,32.5,113,4.3,7.15,
