Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2018,colten-rastetter-1,/cfb/players/colten-rastetter-1.html,113,Colten Rastetter*,Iowa,Big Ten,13,53,2063,38.9
2018,tim-zaleski-1,/cfb/players/tim-zaleski-1.html,114,Tim Zaleski,Wyoming,MWC,5,36,1395,38.8
2018,matthew-trickett-1,/cfb/players/matthew-trickett-1.html,115,Matthew Trickett,Kent State,MAC,12,35,1354,38.7
2018,magill-bauerle-1,/cfb/players/magill-bauerle-1.html,116,Magill Bauerle*,Georgia Southern,Sun Belt,13,56,2164,38.6
2018,davis-price-1,/cfb/players/davis-price-1.html,117,Davis Price,Colorado,Pac-12,9,48,1842,38.4
2018,sebastian-riella-1,/cfb/players/sebastian-riella-1.html,118,Sebastian Riella,Florida Atlantic,CUSA,11,38,1446,38.1
2018,clayton-stewart-1,/cfb/players/clayton-stewart-1.html,119,Clayton Stewart,Texas State,Sun Belt,12,69,2615,37.9
2018,jack-spicer-1,/cfb/players/jack-spicer-1.html,120,Jack Spicer*,Miami (FL),ACC,8,34,1282,37.7
2018,alex-rinella-1,/cfb/players/alex-rinella-1.html,121,Alex Rinella,Western Kentucky,CUSA,12,67,2512,37.5
2018,nick-mihalic-1,/cfb/players/nick-mihalic-1.html,122,Nick Mihalic*,Western Michigan,MAC,13,56,2087,37.3
2018,aidan-alves-1,/cfb/players/aidan-alves-1.html,123,Aidan Alves,Liberty,Ind,12,66,2444,37.0
2018,grant-tinnerman-1,/cfb/players/grant-tinnerman-1.html,124,Grant Tinnerman,Bowling Green State,MAC,6,35,1294,37.0
2019,max-duffy-1,/cfb/players/max-duffy-1.html,1,Max Duffy*,Kentucky,SEC,13,49,2358,48.1
2019,joseph-charlton-1,/cfb/players/joseph-charlton-1.html,2,Joseph Charlton,South Carolina,SEC,11,68,3244,47.7
2019,trenton-gill-1,/cfb/players/trenton-gill-1.html,3,Trenton Gill,North Carolina State,ACC,12,56,2663,47.6
2019,braden-mann-1,/cfb/players/braden-mann-1.html,4,Braden Mann*,Texas A&M,SEC,13,57,2685,47.1
2019,dane-roy-1,/cfb/players/dane-roy-1.html,5,Dane Roy,Houston,American,11,54,2531,46.9
2019,dom-maggio-1,/cfb/players/dom-maggio-1.html,6,Dom Maggio*,Wake Forest,ACC,13,74,3464,46.8
2019,jake-camarda-1,/cfb/players/jake-camarda-1.html,7,Jake Camarda*,Georgia,SEC,14,61,2857,46.8
2019,oscar-bradburn-1,/cfb/players/oscar-bradburn-1.html,8,Oscar Bradburn*,Virginia Tech,ACC,12,53,2467,46.5
2019,ryan-stonehouse-1,/cfb/players/ryan-stonehouse-1.html,9,Ryan Stonehouse,Colorado State,MWC,12,49,2274,46.4
2019,tyson-dyer-1,/cfb/players/tyson-dyer-1.html,10,Tyson Dyer,New Mexico,MWC,12,59,2718,46.1
2019,trent-schneider-1,/cfb/players/trent-schneider-1.html,11,Trent Schneider,South Florida,American,12,71,3266,46.0
2019,michael-turk-1,/cfb/players/michael-turk-1.html,12,Michael Turk*,Arizona State,Pac-12,13,67,3082,46.0
2019,john-haggerty-1,/cfb/players/john-haggerty-1.html,13,John Haggerty*,Western Kentucky,CUSA,13,45,2064,45.9
2019,austin-parker-2,/cfb/players/austin-parker-2.html,14,Austin Parker,Duke,ACC,12,66,3018,45.7
2019,devin-anctil-1,/cfb/players/devin-anctil-1.html,15,Devin Anctil*,Kansas State,Big 12,12,56,2541,45.4
2019,brandon-heicklen-1,/cfb/players/brandon-heicklen-1.html,16,Brandon Heicklen*,San Diego State,MWC,13,74,3347,45.2
2019,austin-mcnamara-1,/cfb/players/austin-mcnamara-1.html,17,Austin McNamara,Texas Tech,Big 12,12,59,2657,45.0
