Year,Player_NCAA_ID,NCAA_Link,Rk,Player,School,Conf,G,Punts,Yds,Avg
2000,brian-morton-1,/cfb/players/brian-morton-1.html,1,Brian Morton,Duke,ACC,11,77,3478,45.2
2000,preston-gruening-1,/cfb/players/preston-gruening-1.html,2,Preston Gruening,Minnesota,Big Ten,11,46,2080,45.2
2000,brooks-barnard-1,/cfb/players/brooks-barnard-1.html,3,Brooks Barnard,Maryland,ACC,11,49,2191,44.7
2000,kevin-stemke-1,/cfb/players/kevin-stemke-1.html,4,Kevin Stemke,Wisconsin,Big Ten,13,69,3070,44.5
2000,dave-zastudil-1,/cfb/players/dave-zastudil-1.html,5,Dave Zastudil,Ohio,MAC,11,47,2084,44.3
2000,casey-roussel-1,/cfb/players/casey-roussel-1.html,6,Casey Roussel,Tulane,CUSA,11,59,2609,44.2
2000,dan-hadenfeldt-1,/cfb/players/dan-hadenfeldt-1.html,7,Dan Hadenfeldt,Nebraska,Big 12,11,39,1708,43.8
2000,jeff-ferguson-1,/cfb/players/jeff-ferguson-1.html,8,Jeff Ferguson*,Oklahoma,Big 12,13,56,2437,43.5
2000,aaron-edmonds-1,/cfb/players/aaron-edmonds-1.html,9,Aaron Edmonds,Brigham Young,MWC,12,67,2898,43.3
2000,alan-rhine-1,/cfb/players/alan-rhine-1.html,10,Alan Rhine,Florida,SEC,12,47,2035,43.3
2000,nate-fikse-1,/cfb/players/nate-fikse-1.html,11,Nate Fikse,UCLA,Pac-10,11,72,3109,43.2
2000,damon-duval-1,/cfb/players/damon-duval-1.html,12,Damon Duval,Auburn,SEC,12,65,2811,43.2
2000,freddie-capshaw-1,/cfb/players/freddie-capshaw-1.html,13,Freddie Capshaw,Miami (FL),Big East,11,49,2119,43.2
2000,richie-butler-1,/cfb/players/richie-butler-1.html,14,Richie Butler,Arkansas,SEC,11,65,2784,42.8
2000,brian-simnjamovski-1,/cfb/players/brian-simnjamovski-1.html,15,Brian Simnjamovski,San Diego State,MWC,11,55,2356,42.8
2000,brian-simnjanovski-1,/cfb/players/brian-simnjanovski-1.html,16,Brian Simnjanovski,San Diego State,MWC,11,55,2356,42.8
2000,mike-abrams-1,/cfb/players/mike-abrams-1.html,17,Mike Abrams,Virginia,ACC,11,65,2768,42.6
2000,jason-baker-1,/cfb/players/jason-baker-1.html,18,Jason Baker,Iowa,Big Ten,12,74,3145,42.5
2000,tom-waring-1,/cfb/players/tom-waring-1.html,19,Tom Waring,Wyoming,MWC,11,59,2502,42.4
2000,jonathan-kilgo-1,/cfb/players/jonathan-kilgo-1.html,20,Jonathan Kilgo,Georgia,SEC,11,58,2450,42.2
2000,matt-brennie-1,/cfb/players/matt-brennie-1.html,21,Matt Brennie,Wake Forest,ACC,11,63,2648,42.0
2000,jeff-edwards-2,/cfb/players/jeff-edwards-2.html,22,Jeff Edwards,Boise State,Big West,11,47,1975,42.0
2000,kent-mccullough-1,/cfb/players/kent-mccullough-1.html,23,Kent McCullough,Miami (OH),MAC,11,56,2344,41.9
2000,bj-sander-1,/cfb/players/bj-sander-1.html,24,B.J. Sander*,Ohio State,Big Ten,12,37,1549,41.9
2000,travis-hale-1,/cfb/players/travis-hale-1.html,25,Travis Hale,Rice,WAC,11,54,2256,41.8
2000,dan-dyke-1,/cfb/players/dan-dyke-1.html,26,Dan Dyke,Georgia Tech,ACC,11,34,1420,41.8
2000,nick-avondet-1,/cfb/players/nick-avondet-1.html,27,Nick Avondet,Eastern Michigan,MAC,11,71,2954,41.6
2000,nick-harris-1,/cfb/players/nick-harris-1.html,28,Nick Harris,California,Pac-10,11,73,3030,41.5
2000,steve-mullins-1,/cfb/players/steve-mullins-1.html,29,Steve Mullins,Utah State,Big West,11,64,2647,41.4
2000,mike-masucci-1,/cfb/players/mike-masucci-1.html,30,Mike Masucci,Buffalo,MAC,8,38,1575,41.4
2000,nick-murphy-1,/cfb/players/nick-murphy-1.html,31,Nick Murphy*,Arizona State,Pac-10,12,86,3551,41.3
2000,mark-haulman-1,/cfb/players/mark-haulman-1.html,32,Mark Haulman,Southern Mississippi,CUSA,11,76,3140,41.3
2000,ray-cheetany-1,/cfb/players/ray-cheetany-1.html,33,Ray Cheetany,UNLV,MWC,12,64,2646,41.3
2000,prentiss-cole-1,/cfb/players/prentiss-cole-1.html,34,Prentiss Cole,Mississippi State,SEC,11,63,2601,41.3
2000,mark-fazzolari-1,/cfb/players/mark-fazzolari-1.html,35,Mark Fazzolari,West Virginia,Big East,11,60,2479,41.3
2000,glen-beard-1,/cfb/players/glen-beard-1.html,36,Glen Beard,UTEP,WAC,11,54,2229,41.3
2000,keith-cottrell-1,/cfb/players/keith-cottrell-1.html,37,Keith Cottrell,Florida State,ACC,12,48,1983,41.3
2000,devin-sanderson-1,/cfb/players/devin-sanderson-1.html,38,Devin Sanderson,South Florida,Ind,11,47,1933,41.1
2000,jj-standring-1,/cfb/players/jj-standring-1.html,39,J.J. Standring*,Northwestern,Big Ten,12,74,3024,40.9
2000,adam-wulfeck-1,/cfb/players/adam-wulfeck-1.html,40,Adam Wulfeck*,Cincinnati,CUSA,12,61,2492,40.9
2000,joey-hildbold-1,/cfb/players/joey-hildbold-1.html,41,Joey Hildbold,Notre Dame,Ind,10,60,2456,40.9
2000,david-leaverton-1,/cfb/players/david-leaverton-1.html,42,David Leaverton,Tennessee,SEC,11,59,2415,40.9
2000,steve-fitts-1,/cfb/players/steve-fitts-1.html,43,Steve Fitts,Illinois,Big Ten,11,52,2128,40.9
2000,mike-shafer-1,/cfb/players/mike-shafer-1.html,44,Mike Shafer,Syracuse,Big East,11,51,2086,40.9
2000,craig-jarrett-1,/cfb/players/craig-jarrett-1.html,45,Craig Jarrett,Michigan State,Big Ten,11,62,2528,40.8
2000,dallas-thompson-1,/cfb/players/dallas-thompson-1.html,46,Dallas Thompson,Air Force,MWC,11,50,2040,40.8
2000,kurtis-doerr-1,/cfb/players/kurtis-doerr-1.html,47,Kurtis Doerr*,Oregon,Pac-10,12,68,2768,40.7
2000,curtis-head-1,/cfb/players/curtis-head-1.html,48,Curtis Head,Marshall,MAC,12,60,2444,40.7
2000,lane-bearden-1,/cfb/players/lane-bearden-1.html,49,Lane Bearden,Alabama,SEC,11,60,2443,40.7
2000,colin-vadheim-1,/cfb/players/colin-vadheim-1.html,50,Colin Vadheim,SMU,WAC,12,67,2717,40.6
2000,adam-coles-1,/cfb/players/adam-coles-1.html,51,Adam Coles,Connecticut,Ind,11,56,2267,40.5
2000,jared-fritz-1,/cfb/players/jared-fritz-1.html,52,Jared Fritz,Kent State,MAC,11,72,2908,40.4
2000,kevin-miller-1,/cfb/players/kevin-miller-1.html,53,Kevin Miller,East Carolina,CUSA,11,30,1212,40.4
2000,pat-fleming-1,/cfb/players/pat-fleming-1.html,54,Pat Fleming,Bowling Green State,MAC,11,58,2340,40.3
2000,andy-kohl-1,/cfb/players/andy-kohl-1.html,55,Andy Kohl,New Mexico State,Big West,11,50,2017,40.3
2000,cody-scates-1,/cfb/players/cody-scates-1.html,56,Cody Scates,Texas A&M,Big 12,11,52,2089,40.2
2000,hayden-epstein-1,/cfb/players/hayden-epstein-1.html,57,Hayden Epstein,Michigan,Big Ten,11,51,2050,40.2
2000,adam-stiles-1,/cfb/players/adam-stiles-1.html,58,Adam Stiles,Baylor,Big 12,11,81,3248,40.1
2000,ben-graves-1,/cfb/players/ben-graves-1.html,59,Ben Graves,Memphis,CUSA,11,78,3125,40.1
2000,mike-fessler-1,/cfb/players/mike-fessler-1.html,60,Mike Fessler*,Oregon State,Pac-10,12,68,2726,40.1
2000,ross-stewart-1,/cfb/players/ross-stewart-1.html,61,Ross Stewart,UAB,CUSA,11,58,2326,40.1
2000,reagan-king-1,/cfb/players/reagan-king-1.html,62,Reagan King,Ole Miss,SEC,11,56,2247,40.1
2000,chris-sivori-1,/cfb/players/chris-sivori-1.html,63,Chris Sivori,Louisville,CUSA,11,55,2204,40.1
2000,patrick-fleming-2,/cfb/players/patrick-fleming-2.html,64,Patrick Fleming,Bowling Green State,MAC,10,59,2360,40.0
2000,javier-beorlegui-1,/cfb/players/javier-beorlegui-1.html,65,Javier Beorlegui,UCF,Ind,11,45,1802,40.0
2000,jared-gilpin-1,/cfb/players/jared-gilpin-1.html,66,Jared Gilpin,Missouri,Big 12,11,65,2587,39.8
2000,cort-moffitt-1,/cfb/players/cort-moffitt-1.html,67,Cort Moffitt,New Mexico,MWC,12,86,3411,39.7
2000,kevin-mcmyler-1,/cfb/players/kevin-mcmyler-1.html,68,Kevin McMyler,Boston College,Big East,11,63,2503,39.7
2000,andy-jerdon-1,/cfb/players/andy-jerdon-1.html,69,Andy Jerdon,Akron,MAC,11,51,2021,39.6
2000,brian-brandt-1,/cfb/players/brian-brandt-1.html,70,Brian Brandt,Central Michigan,MAC,11,87,3440,39.5
2000,derek-jones-1,/cfb/players/derek-jones-1.html,71,Derek Jones,Nevada,WAC,12,79,3119,39.5
2000,clinton-greathouse-1,/cfb/players/clinton-greathouse-1.html,72,Clinton Greathouse,Texas Tech,Big 12,8,36,1422,39.5
2000,tyeler-dean-1,/cfb/players/tyeler-dean-1.html,73,Tyeler Dean*,South Carolina,SEC,12,53,2087,39.4
2000,casey-lipscomb-1,/cfb/players/casey-lipscomb-1.html,74,Casey Lipscomb,Tulsa,WAC,12,64,2515,39.3
2000,jamie-somaini-1,/cfb/players/jamie-somaini-1.html,75,Jamie Somaini,Clemson,ACC,11,60,2360,39.3
2000,brian-williams-2,/cfb/players/brian-williams-2.html,76,Brian Williams,Navy,Ind,11,58,2275,39.2
2000,andy-lee-1,/cfb/players/andy-lee-1.html,77,Andy Lee,Pitt,Big East,11,30,1177,39.2
2000,mike-clark-1,/cfb/players/mike-clark-1.html,78,Mike Clark,Houston,CUSA,11,76,2972,39.1
2000,mike-macgillivray-1,/cfb/players/mike-macgillivray-1.html,79,Mike Macgillivray,USC,Pac-10,12,58,2267,39.1
2000,joey-huber-1,/cfb/players/joey-huber-1.html,80,Joey Huber,Colorado State,MWC,11,52,2035,39.1
2000,david-royer-1,/cfb/players/david-royer-1.html,81,David Royer,Penn State,Big Ten,12,62,2411,38.9
2000,kris-stockton-1,/cfb/players/kris-stockton-1.html,82,Kris Stockton,Texas,Big 12,11,54,2100,38.9
2000,joe-webb-1,/cfb/players/joe-webb-1.html,83,Joe Webb,Vanderbilt,SEC,11,64,2473,38.6
2000,golden-whetman-1,/cfb/players/golden-whetman-1.html,84,Golden Whetman,Utah,MWC,11,63,2432,38.6
2000,carl-gomez-1,/cfb/players/carl-gomez-1.html,85,Carl Gomez,Iowa State,Big 12,11,56,2163,38.6
2000,joey-pelfanio-1,/cfb/players/joey-pelfanio-1.html,86,Joey Pelfanio,Kansas,Big 12,11,65,2505,38.5
2000,travis-brown-1,/cfb/players/travis-brown-1.html,87,Travis Brown,Kansas State,Big 12,13,51,1966,38.5
2000,matt-steffen-1,/cfb/players/matt-steffen-1.html,88,Matt Steffen,Western Michigan,MAC,12,45,1731,38.5
2000,alan-cox-1,/cfb/players/alan-cox-1.html,89,Alan Cox,Washington State,Pac-10,11,71,2726,38.4
2000,mat-mcbriar-1,/cfb/players/mat-mcbriar-1.html,90,Mat McBriar,Hawaii,WAC,8,43,1647,38.3
2000,jason-ball-1,/cfb/players/jason-ball-1.html,91,Jason Ball,North Texas,Big West,11,75,2865,38.2
2000,dan-macelroy-1,/cfb/players/dan-macelroy-1.html,92,Dan Macelroy,Army,CUSA,11,59,2254,38.2
2000,jeremy-flores-1,/cfb/players/jeremy-flores-1.html,93,Jeremy Flores,Colorado,Big 12,11,59,2247,38.1
2000,donnie-jones-1,/cfb/players/donnie-jones-1.html,94,Donnie Jones,LSU,SEC,11,57,2174,38.1
2000,ryan-fleming-2,/cfb/players/ryan-fleming-2.html,95,Ryan Fleming,Washington,Pac-10,11,55,2094,38.1
2000,jimmy-erwin-1,/cfb/players/jimmy-erwin-1.html,96,Jimmy Erwin,Northern Illinois,MAC,11,44,1675,38.1
2000,michael-carr-1,/cfb/players/michael-carr-1.html,97,Michael Carr,San Jose State,WAC,12,61,2313,37.9
2000,brandon-hannum-1,/cfb/players/brandon-hannum-1.html,98,Brandon Hannum,Toledo,MAC,11,55,2083,37.9
2000,andy-shatley-1,/cfb/players/andy-shatley-1.html,99,Andy Shatley,Arkansas State,Big West,11,65,2455,37.8
2000,jason-simpson-2,/cfb/players/jason-simpson-2.html,100,Jason Simpson,Fresno State,WAC,11,62,2343,37.8
2000,mike-barr-1,/cfb/players/mike-barr-1.html,101,Mike Barr,Rutgers,Big East,11,58,2192,37.8
2000,austin-herbert-1,/cfb/players/austin-herbert-1.html,102,Austin Herbert,North Carolina State,ACC,11,59,2224,37.7
2000,scott-elder-1,/cfb/players/scott-elder-1.html,103,Scott Elder,Oklahoma State,Big 12,11,56,2107,37.6
2000,robert-billings-1,/cfb/players/robert-billings-1.html,104,Robert Billings,Middle Tennessee State,Ind,11,52,1951,37.5
2000,garvin-ringwelski-1,/cfb/players/garvin-ringwelski-1.html,105,Garvin Ringwelski,Temple,Big East,9,55,2053,37.3
2000,mike-biselli-1,/cfb/players/mike-biselli-1.html,106,Mike Biselli,Stanford,Pac-10,11,36,1340,37.2
2000,grant-autrey-1,/cfb/players/grant-autrey-1.html,107,Grant Autrey,Louisiana,Ind,11,81,3005,37.1
2000,chris-palic-1,/cfb/players/chris-palic-1.html,108,Chris Palic,Arizona,Pac-10,11,75,2779,37.1
2000,seth-hanson-1,/cfb/players/seth-hanson-1.html,109,Seth Hanson,Kentucky,SEC,11,33,1223,37.1
2000,blake-ferguson-1,/cfb/players/blake-ferguson-1.html,110,Blake Ferguson,North Carolina,ACC,9,40,1475,36.9
2000,scott-kurz-1,/cfb/players/scott-kurz-1.html,111,Scott Kurz*,Purdue,Big Ten,9,30,1091,36.4
2000,reggie-hodges-1,/cfb/players/reggie-hodges-1.html,112,Reggie Hodges,Ball State,MAC,11,64,2321,36.3
2000,ryan-downes-1,/cfb/players/ryan-downes-1.html,113,Ryan Downes,Idaho,Big West,11,58,2081,35.9
2000,dustin-upton-1,/cfb/players/dustin-upton-1.html,114,Dustin Upton,Louisiana Tech,Ind,12,47,1688,35.9
2000,dallas-pelz-1,/cfb/players/dallas-pelz-1.html,115,Dallas Pelz,Buffalo,MAC,8,28,992,35.4
2000,robert-peaslee-1,/cfb/players/robert-peaslee-1.html,116,Robert Peaslee,Virginia Tech,Big East,11,43,1518,35.3
2000,s-hunnicutt-1,/cfb/players/s-hunnicutt-1.html,117,S. Hunnicutt,Louisiana-Monroe,Ind,11,65,2273,35.0
2000,steven-hunnicutt-1,/cfb/players/steven-hunnicutt-1.html,118,Steven Hunnicutt,Louisiana-Monroe,Ind,11,65,2273,35.0
2000,wes-herlocker-1,/cfb/players/wes-herlocker-1.html,119,Wes Herlocker,East Carolina,CUSA,11,29,986,34.0
2001,travis-dorsch-1,/cfb/players/travis-dorsch-1.html,1,Travis Dorsch*,Purdue,Big Ten,12,53,2547,48.1
2001,dave-zastudil-1,/cfb/players/dave-zastudil-1.html,2,Dave Zastudil,Ohio,MAC,11,50,2280,45.6
2001,andy-groom-1,/cfb/players/andy-groom-1.html,3,Andy Groom,Ohio State,Big Ten,11,44,1981,45.0
2001,steve-mullins-1,/cfb/players/steve-mullins-1.html,4,Steve Mullins,Utah State,Ind,11,50,2241,44.8
2001,john-skaggs-1,/cfb/players/john-skaggs-1.html,5,John Skaggs,Navy,Ind,10,48,2151,44.8
2001,glenn-pakulak-1,/cfb/players/glenn-pakulak-1.html,6,Glenn Pakulak,Kentucky,SEC,11,56,2492,44.5
2001,brooks-barnard-1,/cfb/players/brooks-barnard-1.html,7,Brooks Barnard,Maryland,ACC,11,54,2401,44.5
2001,mark-mariscal-1,/cfb/players/mark-mariscal-1.html,8,Mark Mariscal,Colorado,Big 12,11,37,1647,44.5
2001,dan-macelroy-1,/cfb/players/dan-macelroy-1.html,9,Dan Macelroy,Army,CUSA,11,51,2264,44.4
2001,curtis-head-1,/cfb/players/curtis-head-1.html,10,Curtis Head,Marshall,MAC,12,45,1996,44.4
2001,nate-fikse-1,/cfb/players/nate-fikse-1.html,11,Nate Fikse,UCLA,Pac-10,11,53,2342,44.2
2001,adam-stiles-1,/cfb/players/adam-stiles-1.html,12,Adam Stiles,Baylor,Big 12,11,70,3088,44.1
2001,jarad-preston-1,/cfb/players/jarad-preston-1.html,13,Jarad Preston,East Carolina,CUSA,11,45,1983,44.1
2001,jeff-ferguson-1,/cfb/players/jeff-ferguson-1.html,14,Jeff Ferguson,Oklahoma,Big 12,12,71,3124,44.0
2001,damon-duval-1,/cfb/players/damon-duval-1.html,15,Damon Duval,Auburn,SEC,11,51,2244,44.0
2001,adam-wulfeck-1,/cfb/players/adam-wulfeck-1.html,16,Adam Wulfeck,Cincinnati,CUSA,11,64,2800,43.8
2001,tony-yelk-1,/cfb/players/tony-yelk-1.html,17,Tony Yelk,Iowa State,Big 12,11,45,1973,43.8
2001,jonathan-kilgo-1,/cfb/players/jonathan-kilgo-1.html,18,Jonathan Kilgo,Georgia,SEC,11,42,1838,43.8
2001,donnie-jones-1,/cfb/players/donnie-jones-1.html,19,Donnie Jones,LSU,SEC,12,47,2054,43.7
2001,brian-simnjanovski-1,/cfb/players/brian-simnjanovski-1.html,20,Brian Simnjanovski,San Diego State,MWC,11,63,2747,43.6
2001,brian-simnjamovski-1,/cfb/players/brian-simnjamovski-1.html,21,Brian Simnjamovski,San Diego State,MWC,11,63,2745,43.6
2001,scott-elder-1,/cfb/players/scott-elder-1.html,22,Scott Elder,Oklahoma State,Big 12,11,61,2658,43.6
2001,craig-jarrett-1,/cfb/players/craig-jarrett-1.html,23,Craig Jarrett*,Michigan State,Big Ten,12,51,2225,43.6
2001,jason-simpson-2,/cfb/players/jason-simpson-2.html,24,Jason Simpson*,Fresno State,WAC,14,66,2870,43.5
2001,javier-beorlegui-1,/cfb/players/javier-beorlegui-1.html,25,Javier Beorlegui,UCF,Ind,11,46,2001,43.5
2001,mat-mcbriar-1,/cfb/players/mat-mcbriar-1.html,26,Mat McBriar,Hawaii,WAC,12,40,1736,43.4
2001,casey-roussel-1,/cfb/players/casey-roussel-1.html,27,Casey Roussel,Tulane,CUSA,12,64,2764,43.2
2001,kevin-mcmyler-1,/cfb/players/kevin-mcmyler-1.html,28,Kevin McMyler,Boston College,Big East,11,59,2547,43.2
2001,jj-standring-1,/cfb/players/jj-standring-1.html,29,J.J. Standring,Northwestern,Big Ten,11,69,2971,43.1
2001,joey-huber-1,/cfb/players/joey-huber-1.html,30,Joey Huber,Colorado State,MWC,11,56,2408,43.0
2001,mike-shafer-1,/cfb/players/mike-shafer-1.html,31,Mike Shafer,Syracuse,Big East,12,77,3282,42.6
2001,richie-butler-1,/cfb/players/richie-butler-1.html,32,Richie Butler,Arkansas,SEC,11,67,2848,42.5
2001,ross-stewart-1,/cfb/players/ross-stewart-1.html,33,Ross Stewart,UAB,CUSA,11,57,2420,42.5
2001,kyle-larson-1,/cfb/players/kyle-larson-1.html,34,Kyle Larson,Nebraska,Big 12,12,56,2381,42.5
2001,joey-biasatti-1,/cfb/players/joey-biasatti-1.html,35,Joey Biasatti,Texas Christian,CUSA,11,65,2757,42.4
2001,steve-fitts-1,/cfb/players/steve-fitts-1.html,36,Steve Fitts,Illinois,Big Ten,11,53,2248,42.4
2001,tyeler-dean-1,/cfb/players/tyeler-dean-1.html,37,Tyeler Dean*,South Carolina,SEC,12,47,1993,42.4
2001,john-cortney-1,/cfb/players/john-cortney-1.html,38,John Cortney,Air Force,MWC,12,39,1654,42.4
2001,mark-fazzolari-1,/cfb/players/mark-fazzolari-1.html,39,Mark Fazzolari,West Virginia,Big East,11,29,1229,42.4
2001,mark-haulman-1,/cfb/players/mark-haulman-1.html,40,Mark Haulman,Southern Mississippi,CUSA,11,65,2751,42.3
2001,robert-billings-1,/cfb/players/robert-billings-1.html,41,Robert Billings,Middle Tennessee State,Sun Belt,11,35,1481,42.3
2001,joey-hildbold-1,/cfb/players/joey-hildbold-1.html,42,Joey Hildbold,Notre Dame,Ind,11,64,2703,42.2
2001,mike-abrams-1,/cfb/players/mike-abrams-1.html,43,Mike Abrams,Virginia,ACC,12,62,2616,42.2
2001,mike-barr-1,/cfb/players/mike-barr-1.html,44,Mike Barr,Rutgers,Big East,11,84,3526,42.0
2001,jimmy-erwin-1,/cfb/players/jimmy-erwin-1.html,45,Jimmy Erwin,Northern Illinois,MAC,11,60,2507,41.8
2001,freddie-capshaw-1,/cfb/players/freddie-capshaw-1.html,46,Freddie Capshaw,Miami (FL),Big East,11,36,1503,41.8
2001,dustin-upton-1,/cfb/players/dustin-upton-1.html,47,Dustin Upton,Louisiana Tech,WAC,11,57,2377,41.7
2001,reggie-hodges-1,/cfb/players/reggie-hodges-1.html,48,Reggie Hodges,Ball State,MAC,11,60,2481,41.4
2001,joe-webb-1,/cfb/players/joe-webb-1.html,49,Joe Webb,Vanderbilt,SEC,11,57,2358,41.4
2001,preston-gruening-1,/cfb/players/preston-gruening-1.html,50,Preston Gruening,Minnesota,Big Ten,11,51,2109,41.4
2001,derek-mclaughlin-1,/cfb/players/derek-mclaughlin-1.html,51,Derek McLaughlin,Washington,Pac-10,11,52,2144,41.2
2001,andy-lee-1,/cfb/players/andy-lee-1.html,52,Andy Lee,Pitt,Big East,11,64,2630,41.1
2001,alan-cox-1,/cfb/players/alan-cox-1.html,53,Alan Cox*,Washington State,Pac-10,12,64,2628,41.1
2001,nick-murphy-1,/cfb/players/nick-murphy-1.html,54,Nick Murphy,Arizona State,Pac-10,11,52,2137,41.1
2001,austin-herbert-1,/cfb/players/austin-herbert-1.html,55,Austin Herbert,North Carolina State,ACC,11,53,2166,40.9
2001,brandon-hannum-1,/cfb/players/brandon-hannum-1.html,56,Brandon Hannum,Toledo,MAC,11,48,1964,40.9
2001,jared-cook-1,/cfb/players/jared-cook-1.html,57,Jared Cook,Mississippi State,SEC,11,60,2445,40.8
2001,cody-scates-1,/cfb/players/cody-scates-1.html,58,Cody Scates,Texas A&M,Big 12,11,71,2888,40.7
2001,todd-james-1,/cfb/players/todd-james-1.html,59,Todd James,West Virginia,Big East,11,32,1303,40.7
2001,david-royer-1,/cfb/players/david-royer-1.html,60,David Royer,Penn State,Big Ten,11,71,2880,40.6
2001,james-gaither-1,/cfb/players/james-gaither-1.html,61,James Gaither,Memphis,CUSA,11,67,2718,40.6
2001,wade-tydlacka-1,/cfb/players/wade-tydlacka-1.html,62,Wade Tydlacka,Louisville,CUSA,12,63,2559,40.6
2001,luke-donovan-1,/cfb/players/luke-donovan-1.html,63,Luke Donovan,Wyoming,MWC,11,57,2317,40.6
2001,chris-tyrell-1,/cfb/players/chris-tyrell-1.html,64,Chris Tyrell,Kansas,Big 12,11,53,2148,40.5
2001,chris-tyrrell-1,/cfb/players/chris-tyrrell-1.html,65,Chris Tyrrell,Kansas,Big 12,11,53,2148,40.5
2001,casey-lipscomb-1,/cfb/players/casey-lipscomb-1.html,66,Casey Lipscomb,Tulsa,WAC,11,65,2627,40.4
2001,brian-lewis-2,/cfb/players/brian-lewis-2.html,67,Brian Lewis,Utah,MWC,11,57,2294,40.2
2001,clinton-greathouse-1,/cfb/players/clinton-greathouse-1.html,68,Clinton Greathouse,Texas Tech,Big 12,11,43,1727,40.2
2001,brian-brandt-1,/cfb/players/brian-brandt-1.html,69,Brian Brandt,Central Michigan,MAC,11,72,2889,40.1
2001,patrick-fleming-2,/cfb/players/patrick-fleming-2.html,70,Patrick Fleming,Bowling Green State,MAC,11,54,2166,40.1
2001,pat-fleming-1,/cfb/players/pat-fleming-1.html,71,Pat Fleming,Bowling Green State,MAC,11,54,2165,40.1
2001,chance-gwaltney-1,/cfb/players/chance-gwaltney-1.html,72,Chance Gwaltney,Florida State,ACC,11,53,2125,40.1
2001,derek-jones-1,/cfb/players/derek-jones-1.html,73,Derek Jones,Nevada,WAC,11,53,2107,39.8
2001,aaron-edmonds-1,/cfb/players/aaron-edmonds-1.html,74,Aaron Edmonds,Brigham Young,MWC,13,46,1831,39.8
2001,kirk-munden-1,/cfb/players/kirk-munden-1.html,75,Kirk Munden,Wisconsin,Big Ten,12,35,1390,39.7
2001,john-lafferty-1,/cfb/players/john-lafferty-1.html,76,John Lafferty,North Carolina,ACC,12,67,2656,39.6
2001,devin-sanderson-1,/cfb/players/devin-sanderson-1.html,77,Devin Sanderson,South Florida,Ind,10,58,2294,39.6
2001,dustin-colquitt-1,/cfb/players/dustin-colquitt-1.html,78,Dustin Colquitt,Tennessee,SEC,12,51,2020,39.6
2001,lane-bearden-1,/cfb/players/lane-bearden-1.html,79,Lane Bearden,Alabama,SEC,11,50,1980,39.6
2001,tyler-frederickson-1,/cfb/players/tyler-frederickson-1.html,80,Tyler Frederickson,California,Pac-10,11,75,2959,39.5
2001,tyler-fredrickson-1,/cfb/players/tyler-fredrickson-1.html,81,Tyler Fredrickson,California,Pac-10,11,75,2959,39.5
2001,brock-harvey-1,/cfb/players/brock-harvey-1.html,82,Brock Harvey,Missouri,Big 12,7,42,1660,39.5
2001,adam-walterscheid-1,/cfb/players/adam-walterscheid-1.html,83,Adam Walterscheid,SMU,WAC,11,59,2322,39.4
2001,hayden-epstein-1,/cfb/players/hayden-epstein-1.html,84,Hayden Epstein,Michigan,Big Ten,11,64,2513,39.3
2001,wynn-kopp-1,/cfb/players/wynn-kopp-1.html,85,Wynn Kopp,Clemson,ACC,11,42,1652,39.3
2001,adam-coles-1,/cfb/players/adam-coles-1.html,86,Adam Coles,Connecticut,Ind,11,81,3172,39.2
2001,vladimir-borombozin-1,/cfb/players/vladimir-borombozin-1.html,87,Vladimir Borombozin,New Mexico,MWC,11,72,2819,39.2
2001,carl-tobey-1,/cfb/players/carl-tobey-1.html,88,Carl Tobey,Oregon State,Pac-10,11,68,2664,39.2
2001,ryan-downes-1,/cfb/players/ryan-downes-1.html,89,Ryan Downes,Idaho,Sun Belt,11,46,1805,39.2
2001,travis-hale-1,/cfb/players/travis-hale-1.html,90,Travis Hale,Rice,WAC,12,66,2581,39.1
2001,mike-macgillivray-1,/cfb/players/mike-macgillivray-1.html,91,Mike Macgillivray*,USC,Pac-10,12,79,3082,39.0
2001,scott-mcmahan-1,/cfb/players/scott-mcmahan-1.html,92,Scott McMahan,Buffalo,MAC,11,68,2642,38.9
2001,cody-ridgeway-1,/cfb/players/cody-ridgeway-1.html,93,Cody Ridgeway,Ole Miss,SEC,11,48,1861,38.8
2001,jason-ball-1,/cfb/players/jason-ball-1.html,94,Jason Ball,North Texas,Sun Belt,11,66,2553,38.7
2001,jose-arroyo-1,/cfb/players/jose-arroyo-1.html,95,Jose Arroyo*,Oregon,Pac-10,12,62,2400,38.7
2001,michael-wafzig-1,/cfb/players/michael-wafzig-1.html,96,Michael Wafzig,Miami (OH),MAC,12,59,2276,38.6
2001,mike-wafzig-1,/cfb/players/mike-wafzig-1.html,97,Mike Wafzig,Miami (OH),MAC,12,59,2276,38.6
2001,gary-cook-1,/cfb/players/gary-cook-1.html,98,Gary Cook,UNLV,MWC,11,64,2455,38.4
2001,trey-mcdonald-1,/cfb/players/trey-mcdonald-1.html,99,Trey McDonald,Duke,ACC,11,60,2304,38.4
2001,jimmy-mcclary-1,/cfb/players/jimmy-mcclary-1.html,100,Jimmy McClary,Houston,CUSA,11,63,2399,38.1
2001,eric-johnson-1,/cfb/players/eric-johnson-1.html,101,Eric Johnson,Stanford,Pac-10,11,51,1943,38.1
2001,jace-amore-1,/cfb/players/jace-amore-1.html,102,Jace Amore,Temple,Big East,11,73,2776,38.0
2001,ramey-peru-1,/cfb/players/ramey-peru-1.html,103,Ramey Peru,Arizona,Pac-10,11,60,2274,37.9
